	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
46	Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	cmax		5.8	3.2					µg/ml	
47	Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	tmax		1.5	1.8					h	
48	Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	auc		51.9	26.9					µg/ml*h	
49	Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	auc	yes	0.609	0.297					µg/ml*h/kg	
50	Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	thalf		6.0	1.7					h	
51	Akinyinka2000	control	S3	D1	caffeine	Tab3	E1	plasma	clearance	yes	1.8	0.7					ml/min/kg	
52	Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E2	plasma	cmax		1.5	0.6					µg/ml	
53	Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E2	plasma	tmax		7.0	3.4					h	
54	Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E2	plasma	auc		29.1	9.4					µg/ml*h	
55	Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E2	plasma	thalf		10.5	4.4					h	
56	Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	salvia	cmax		4.8	8.0					µg/ml	
57	Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	salvia	tmax		1.3	1.0					h	
58	Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	salvia	auc		35.5	18.9					µg/ml*h	
59	Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	salvia	auc	yes	0.42700000000000005	0.239					µg/ml*h/kg	
60	Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	salvia	thalf		7.1	3.8					h	
61	Akinyinka2000	control	S3	D1	caffeine	Tab3	E3	salvia	clearance	yes	2.8	1.2					ml/min/kg	
62	Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E4	salvia	cmax		1.0	0.4					µg/ml	
63	Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E4	salvia	tmax		8.0	2.8					h	
64	Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E4	salvia	auc		16.8	9.9					µg/ml*h	
65	Akinyinka2000	control	S3	D1	paraxanthine	Tab3	E4	salvia	thalf		6.9	8.7					h	
