study	output_type	pk	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median
Seng2009	outputs	23052	plasma	caffeine	clearance	l/h/kg	3108			878.0	0.0726	0.00868	0.46299999999999997			0.0336						
Seng2009	outputs	23054	plasma	caffeine	thalf	h	3108			878.0	4.86	0.41100000000000003	0.327			1.59						
Seng2009	outputs	23056	plasma	caffeine	vd	l	3108			878.0	40.2	7.76	0.747			30.1						
Seng2009	outputs	23058	plasma	caffeine	vd	l/kg	3108			878.0	0.95	0.11900000000000001	0.484			0.46						
Seng2009	outputs	23060	plasma	caffeine	auc_end	mg*h/l	3108			878.0	50.9	8.79	0.669	h	24.0	34.0						
Seng2009	outputs	23062	plasma	caffeine	clearance	l/h	3110			878.0	4.91	0.8109999999999999	0.64			3.14						
Seng2009	outputs	23064	plasma	caffeine	clearance	l/h/kg	3110			878.0	0.0666	0.0138	0.802			0.0534						
Seng2009	outputs	23066	plasma	caffeine	thalf	h	3110			878.0	5.56	0.5579999999999999	0.38799999999999996			2.16						
Seng2009	outputs	23068	plasma	caffeine	vd	l	3110			878.0	47.4	12.4	1.02			48.2						
Seng2009	outputs	23070	plasma	caffeine	vd	l/kg	3110			878.0	0.66	0.18100000000000002	1.06			0.7						
Seng2009	outputs	23072	plasma	caffeine	auc_end	mg*h/l	3110			878.0	72.6	11.4	0.607	h	24.0	44.1						
Seng2009	outputs	23074	plasma	caffeine	clearance	l/h	3108			879.0	11.3	1.14	0.557			6.27						
Seng2009	outputs	23076	plasma	caffeine	clearance	l/h/kg	3108			879.0	0.16899999999999998	0.0193	0.626			0.106						
Seng2009	outputs	23078	plasma	caffeine	thalf	h	3108			879.0	4.21	0.259	0.337			1.42						
Seng2009	outputs	23080	plasma	caffeine	vd	l	3108			879.0	49.3	9.35	1.04			51.2						
Seng2009	outputs	23082	plasma	caffeine	vd	l/kg	3108			879.0	1.05	0.155	0.81			0.85						
Seng2009	outputs	23084	plasma	caffeine	auc_end	mg*h/l	3108			879.0	23.1	3.05	0.7240000000000001	h	24.0	16.7						
Murphy1988	outputs	22251	plasma	caffeine	thalf	h	3074			851.0	2.83	0.308	0.307			0.87				3.68	1.17	
Murphy1988	outputs	22252	plasma	caffeine	thalf	h	3074			852.0	2.51	0.301	0.33899999999999997			0.85				3.66	1.2	
Murphy1988	outputs	22253	plasma	caffeine	thalf	h	3074			853.0	3.98	0.322	0.22899999999999998			0.91				5.6	2.98	
Murphy1988	outputs	22254	plasma	caffeine	thalf	h	3074			854.0	4.4	0.488	0.314			1.38				6.5	3.0	
Murphy1988	outputs	22255	plasma	caffeine	clearance	l/h/kg	3074			851.0	0.226	0.0259	0.324			0.0732				0.318	0.107	
Murphy1988	outputs	22256	plasma	caffeine	clearance	l/h/kg	3074			852.0	0.242	0.0297	0.34700000000000003			0.084				0.37200000000000005	0.105	
Murphy1988	outputs	22257	plasma	caffeine	clearance	l/h/kg	3074			853.0	0.146	0.00997	0.193			0.0282				0.171	0.069	
Murphy1988	outputs	22258	plasma	caffeine	clearance	l/h/kg	3074			854.0	0.133	0.0148	0.317			0.042				0.187	0.06	
Murphy1988	outputs	22259	plasma	antipyrine	thalf	h	3076			851.0	8.19	0.64	0.221			1.81				10.7	5.46	
Murphy1988	outputs	22260	plasma	antipyrine	thalf	h	3076			852.0	8.53	0.636	0.21100000000000002			1.8				10.6	5.63	
Murphy1988	outputs	22261	plasma	antipyrine	thalf	h	3076			853.0	9.77	0.725	0.21			2.05				12.6	6.43	
Murphy1988	outputs	22262	plasma	antipyrine	thalf	h	3076			854.0	9.35	0.647	0.196			1.83				12.0	6.43	
Murphy1988	outputs	22263	plasma	antipyrine	clearance	l/h/kg	3076			851.0	0.0804	0.008490000000000001	0.299			0.024				0.121	0.057	
Murphy1988	outputs	22264	plasma	antipyrine	clearance	l/h/kg	3076			852.0	0.0774	0.0087	0.318			0.0246				0.11800000000000001	0.057	
Murphy1988	outputs	22265	plasma	antipyrine	clearance	l/h/kg	3076			853.0	0.0612	0.007	0.324			0.0198				0.105	0.0414	
Murphy1988	outputs	22266	plasma	antipyrine	clearance	l/h/kg	3076			854.0	0.063	0.006790000000000001	0.305			0.0192				0.105	0.042	
Hetzler1990	outputs	21543	plasma	FFA	concentration	µg/ml	3044			833.0	470.0	19.9	0.134			63.0						
Hetzler1990	outputs	21544	plasma	FFA	concentration	µg/ml	3044			833.0	420.0	30.0	0.226			95.0						
Hetzler1990	outputs	21545	plasma	FFA	concentration	µg/ml	3044			833.0	430.0	39.8	0.293			126.0						
Hetzler1990	outputs	21546	plasma	FFA	concentration	µg/ml	3044			833.0	570.0	69.9	0.38799999999999996			221.0						
Hetzler1990	outputs	21547	plasma	FFA	concentration	µg/ml	3044			833.0	640.0	39.8	0.19699999999999998			126.0						
Hetzler1990	outputs	21548	plasma	FFA	concentration	µg/ml	3044			833.0	640.0	39.8	0.19699999999999998			126.0						
Hetzler1990	outputs	21549	plasma	FFA	concentration	µg/ml	3044			833.0	650.0	30.0	0.146			95.0						
Hetzler1990	outputs	21550	plasma	FFA	concentration	µg/ml	3044			833.0	660.0	30.0	0.14400000000000002			95.0						
Hetzler1990	outputs	21551	plasma	FFA	concentration	µg/ml	3044			833.0	720.0	30.0	0.132			95.0						
Hetzler1990	outputs	21552	plasma	FFA	concentration	µg/ml	3044			833.0	710.0	60.1	0.268			190.0						
Hetzler1990	outputs	21553	plasma	glycerol	concentration	µg/ml	3044			833.0	130.0	10.1	0.24600000000000002			32.0						
Hetzler1990	outputs	21554	plasma	glycerol	concentration	µg/ml	3044			833.0	130.0	19.9	0.485			63.0						
Hetzler1990	outputs	21555	plasma	glycerol	concentration	µg/ml	3044			833.0	150.0	10.1	0.213			32.0						
Hetzler1990	outputs	21556	plasma	glycerol	concentration	µg/ml	3044			833.0	160.0	19.9	0.39399999999999996			63.0						
Hetzler1990	outputs	21557	plasma	glycerol	concentration	µg/ml	3044			833.0	150.0	10.1	0.213			32.0						
Hetzler1990	outputs	21558	plasma	glycerol	concentration	µg/ml	3044			833.0	160.0	10.1	0.2			32.0						
Hetzler1990	outputs	21559	plasma	glycerol	concentration	µg/ml	3044			833.0	160.0	10.1	0.2			32.0						
Hetzler1990	outputs	21560	plasma	glycerol	concentration	µg/ml	3044			833.0	170.0	10.1	0.188			32.0						
Hetzler1990	outputs	21561	plasma	glycerol	concentration	µg/ml	3044			833.0	150.0	10.1	0.213			32.0						
Hetzler1990	outputs	21562	plasma	glycerol	concentration	µg/ml	3044			833.0	140.0	10.1	0.22899999999999998			32.0						
Hetzler1990	outputs	21563	plasma	caffeine	concentration	µg/ml	3044			833.0	60.0	50.0	2.63			158.0						
Hetzler1990	outputs	21564	plasma	caffeine	concentration	µg/ml	3044			833.0	8720.0	1230.0	0.446			3890.0						
Hetzler1990	outputs	21565	plasma	caffeine	concentration	µg/ml	3044			833.0	5670.0	290.0	0.162			917.0						
Hetzler1990	outputs	21566	plasma	caffeine	concentration	µg/ml	3044			833.0	5300.0	400.0	0.239			1260.0						
Hetzler1990	outputs	21567	plasma	caffeine	concentration	µg/ml	3044			833.0	4660.0	200.0	0.136			632.0						
Hetzler1990	outputs	21568	plasma	caffeine	concentration	µg/ml	3044			833.0	4340.0	200.0	0.146			632.0						
Hetzler1990	outputs	21569	plasma	caffeine	concentration	µg/ml	3044			833.0	3820.0	200.0	0.165			632.0						
Hetzler1990	outputs	21570	plasma	caffeine	concentration	µg/ml	3044			833.0	3370.0	170.0	0.16			538.0						
Hetzler1990	outputs	21571	plasma	caffeine	concentration	µg/ml	3044			833.0	3320.0	220.0	0.21			696.0						
Hetzler1990	outputs	21572	plasma	caffeine	concentration	µg/ml	3044			833.0	3030.0	180.0	0.188			569.0						
Hetzler1990	outputs	21573	plasma	paraxanthine	concentration	µg/ml	3044			833.0	80.0	69.9	2.76			221.0						
Hetzler1990	outputs	21574	plasma	paraxanthine	concentration	µg/ml	3044			833.0	240.0	69.9	0.9209999999999999			221.0						
Hetzler1990	outputs	21575	plasma	paraxanthine	concentration	µg/ml	3044			833.0	430.0	90.1	0.6629999999999999			285.0						
Hetzler1990	outputs	21576	plasma	paraxanthine	concentration	µg/ml	3044			833.0	600.0	90.1	0.475			285.0						
Hetzler1990	outputs	21577	plasma	paraxanthine	concentration	µg/ml	3044			833.0	680.0	69.9	0.325			221.0						
Hetzler1990	outputs	21578	plasma	paraxanthine	concentration	µg/ml	3044			833.0	710.0	69.9	0.311			221.0						
Hetzler1990	outputs	21579	plasma	paraxanthine	concentration	µg/ml	3044			833.0	860.0	90.1	0.331			285.0						
Hetzler1990	outputs	21580	plasma	paraxanthine	concentration	µg/ml	3044			833.0	1010.0	60.1	0.188			190.0						
Hetzler1990	outputs	21581	plasma	paraxanthine	concentration	µg/ml	3044			833.0	1050.0	50.0	0.15			158.0						
Hetzler1990	outputs	21582	plasma	paraxanthine	concentration	µg/ml	3044			833.0	1150.0	80.0	0.22			253.0						
Hetzler1990	outputs	21583	plasma	paraxanthine/caffeine	ratio	-	3044			833.0												
Hetzler1990	outputs	21584	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	28.0	8.85	1.0			28.0						
Hetzler1990	outputs	21585	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	76.0	16.4	0.684			52.0						
Hetzler1990	outputs	21586	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	113.0	19.0	0.531			60.0						
Hetzler1990	outputs	21587	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	146.0	16.1	0.349			51.0						
Hetzler1990	outputs	21588	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	164.0	17.7	0.341			56.0						
Hetzler1990	outputs	21589	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	225.0	26.2	0.369			83.0						
Hetzler1990	outputs	21590	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	300.0	23.4	0.247			74.0						
Hetzler1990	outputs	21591	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	316.0	25.9	0.259			82.0						
Hetzler1990	outputs	21592	plasma	paraxanthine/caffeine	ratio	-	3044			833.0	380.0	34.8	0.289			110.0						
Seng2009	outputs	23086	plasma	caffeine	clearance	l/h	3110			879.0	7.98	0.5589999999999999	0.384			3.06						
Seng2009	outputs	23088	plasma	caffeine	clearance	l/h/kg	3110			879.0	0.121	0.009859999999999999	0.44799999999999995			0.054						
Seng2009	outputs	23090	plasma	caffeine	thalf	h	3110			879.0	5.12	0.19699999999999998	0.21100000000000002			1.08						
Seng2009	outputs	23092	plasma	caffeine	vd	l	3110			879.0	48.8	4.59	0.515			25.2						
Seng2009	outputs	23094	plasma	caffeine	vd	l/kg	3110			879.0	0.75	0.0785	0.573			0.43						
Seng2009	outputs	23096	plasma	caffeine	auc_end	mg*h/l	3110			879.0	46.1	3.45	0.41100000000000003	h	24.0	18.9						
Seng2009	outputs	23098	plasma	caffeine	clearance	l/h	3108			877.0	4.84	0.69	0.5329999999999999			2.58						
Seng2009	outputs	23100	plasma	caffeine	clearance	l/h/kg	3108			877.0	0.109	0.0107	0.37			0.0402						
Seng2009	outputs	23102	plasma	caffeine	thalf	h	3108			877.0	4.79	0.601	0.47			2.25						
Seng2009	outputs	23104	plasma	caffeine	vd	l	3108			877.0	51.2	7.6	0.555			28.4						
Seng2009	outputs	23106	plasma	caffeine	vd	l/kg	3108			877.0	0.85	0.128	0.565			0.48						
Seng2009	outputs	23108	plasma	caffeine	auc_end	mg*h/l	3108			877.0	46.6	3.65	0.293	h	24.0	13.7						
Seng2009	outputs	23110	plasma	caffeine	clearance	l/h	3110			877.0	4.94	0.9059999999999999	0.687			3.39						
Seng2009	outputs	23112	plasma	caffeine	clearance	l/h/kg	3110			877.0	0.0606	0.0123	0.762			0.0462						
Seng2009	outputs	23114	plasma	caffeine	thalf	h	3110			877.0	5.12	0.81	0.5920000000000001			3.03						
Seng2009	outputs	23116	plasma	caffeine	vd	l	3110			877.0	44.2	8.71	0.737			32.6						
Seng2009	outputs	23118	plasma	caffeine	vd	l/kg	3110			877.0	0.72	0.15	0.778			0.56						
Seng2009	outputs	23120	plasma	caffeine	auc_end	mg*h/l	3110			877.0	65.8	11.8	0.6679999999999999	h	24.0	44.0						
Spigset1999a	outputs	23125	plasma	caffeine	auc_inf	µmol*h/l	3112			880.0										268.0	131.0	169.0
Spigset1999a	outputs	23126	plasma	caffeine	clearance	l/h	3112			880.0										7.86	3.84	6.06
Spigset1999a	outputs	23127	plasma	caffeine	cmax	µmol/l	3112			880.0										30.1	17.7	24.4
Spigset1999a	outputs	23128	plasma	caffeine	thalf	h	3112			880.0										8.0	2.7	5.9
Spigset1999a	outputs	23133	saliva	caffeine	auc_inf	µmol*h/l	3112			880.0										172.0	87.0	130.0
Spigset1999a	outputs	23134	saliva	caffeine	clearance	l/h	3112			880.0										11.8	5.94	7.02
Spigset1999a	outputs	23135	saliva	caffeine	cmax	µmol/l	3112			880.0										22.9	13.9	17.9
Spigset1999a	outputs	23136	saliva	caffeine	thalf	h	3112			880.0										9.7	4.1	6.8
Renner1984	outputs	23001	plasma	caffeine	vd	l/kg	3106	1426.0	0.57													
Renner1984	outputs	23002	plasma	caffeine	vd	l/kg	3106	1427.0	0.39													
Renner1984	outputs	23003	plasma	caffeine	vd	l/kg	3106	1428.0	0.67													
Renner1984	outputs	23004	plasma	caffeine	vd	l/kg	3106	1429.0	0.5													
Renner1984	outputs	23005	plasma	caffeine	vd	l/kg	3106	1430.0	0.66													
Renner1984	outputs	23006	plasma	caffeine	vd	l/kg	3106	1431.0	0.71													
Renner1984	outputs	23007	plasma	caffeine	vd	l/kg	3106	1432.0	0.45													
Renner1984	outputs	23008	plasma	caffeine	vd	l/kg	3106	1433.0	0.86													
Renner1984	outputs	23009	plasma	caffeine	vd	l/kg	3106	1434.0	0.25													
Renner1984	outputs	23010	plasma	caffeine	vd	l/kg	3106	1435.0	0.45													
Renner1984	outputs	23011	plasma	caffeine	vd	l/kg	3106	1436.0	0.59													
Renner1984	outputs	23012	plasma	caffeine	vd	l/kg	3106	1437.0	0.55													
Renner1984	outputs	23013	plasma	caffeine	vd	l/kg	3106	1438.0	0.53													
Renner1984	outputs	23014	plasma	caffeine	vd	l/kg	3106	1439.0	0.42													
Renner1984	outputs	23015	plasma	caffeine	vd	l/kg	3106	1440.0	0.62													
Renner1984	outputs	23016	plasma	caffeine	vd	l/kg	3106	1441.0	0.61													
Renner1984	outputs	23017	plasma	caffeine	vd	l/kg	3106	1442.0	0.43													
Renner1984	outputs	23018	plasma	caffeine	vd	l/kg	3106	1443.0	0.57													
Renner1984	outputs	23019	plasma	caffeine	vd	l/kg	3106	1444.0	0.54													
Renner1984	outputs	23020	plasma	caffeine	vd	l/kg	3106	1445.0	0.61													
Renner1984	outputs	23021	plasma	caffeine	vd	l/kg	3106	1446.0	0.58													
Renner1984	outputs	23022	plasma	caffeine	vd	l/kg	3106	1447.0	0.6													
Renner1984	outputs	23023	plasma	caffeine	thalf	h	3106	1422.0	50.2													
Renner1984	outputs	23024	plasma	caffeine	thalf	h	3106	1423.0	19.9													
Renner1984	outputs	23025	plasma	caffeine	thalf	h	3106	1424.0	34.0													
Renner1984	outputs	23026	plasma	caffeine	thalf	h	3106	1425.0	10.1													
Renner1984	outputs	23027	plasma	caffeine	thalf	h	3106	1426.0	8.1													
Renner1984	outputs	23028	plasma	caffeine	thalf	h	3106	1427.0	5.5													
Renner1984	outputs	23029	plasma	caffeine	thalf	h	3106	1428.0	7.7													
Renner1984	outputs	23030	plasma	caffeine	thalf	h	3106	1429.0	4.5													
Renner1984	outputs	23031	plasma	caffeine	thalf	h	3106	1430.0	18.3													
Renner1984	outputs	23032	plasma	caffeine	thalf	h	3106	1431.0	14.3													
Renner1984	outputs	23033	plasma	caffeine	thalf	h	3106	1432.0	8.3													
Renner1984	outputs	23034	plasma	caffeine	thalf	h	3106	1433.0	12.8													
Renner1984	outputs	23035	plasma	caffeine	thalf	h	3106	1434.0	2.8													
Renner1984	outputs	23036	plasma	caffeine	thalf	h	3106	1435.0	3.9													
Renner1984	outputs	23037	plasma	caffeine	thalf	h	3106	1436.0	5.1													
Renner1984	outputs	23038	plasma	caffeine	thalf	h	3106	1437.0	10.4													
Renner1984	outputs	23039	plasma	caffeine	thalf	h	3106	1438.0	5.6													
Renner1984	outputs	23040	plasma	caffeine	thalf	h	3106	1439.0	4.0													
Renner1984	outputs	23041	plasma	caffeine	thalf	h	3106	1440.0	5.7													
Renner1984	outputs	23042	plasma	caffeine	thalf	h	3106	1441.0	5.4													
Renner1984	outputs	23043	plasma	caffeine	thalf	h	3106	1442.0	3.3													
Renner1984	outputs	23044	plasma	caffeine	thalf	h	3106	1443.0	3.8													
Renner1984	outputs	23045	plasma	caffeine	thalf	h	3106	1444.0	3.4													
Renner1984	outputs	23046	plasma	caffeine	thalf	h	3106	1445.0	3.7													
Renner1984	outputs	23047	plasma	caffeine	thalf	h	3106	1446.0	3.5													
Renner1984	outputs	23048	plasma	caffeine	thalf	h	3106	1447.0	3.0													
Desmond1980	outputs	20288	plasma	caffeine	thalf	h	2858			810.0	5.2	0.62	0.462			2.4						
Desmond1980	outputs	20290	plasma	caffeine	vd	l/kg	2858			810.0	0.54	0.0439	0.315			0.17						
Desmond1980	outputs	20292	plasma	caffeine	clearance	l/h/kg	2858			810.0	0.084	0.00775	0.35700000000000004			0.03						
Desmond1980	outputs	20294	plasma	caffeine	plasma_binding	-	2858			810.0	313.0	0.465	0.00575			1.8						
Desmond1980	outputs	20296	plasma	caffeine	clearance_unbound	l/h/kg	2858			810.0	0.12	0.0108	0.35			0.042						
Desmond1980	outputs	20298	plasma	caffeine	thalf	h	2858			812.0	6.1	0.672	0.311			1.9						
Desmond1980	outputs	20300	plasma	caffeine	vd	l/kg	2858			812.0	0.47	0.0566	0.34			0.16						
Desmond1980	outputs	20302	plasma	caffeine	clearance	l/h/kg	2858			812.0	0.054	0.00636	0.33299999999999996			0.018						
Desmond1980	outputs	20304	plasma	caffeine	plasma_binding	-	2858			812.0	25.5	1.41	0.157			4.0						
Desmond1980	outputs	20306	plasma	caffeine	clearance_unbound	l/h/kg	2858			812.0	0.072	0.008490000000000001	0.33299999999999996			0.024						
Harder1988	outputs	21086	plasma	caffeine	thalf	h	2884			829.0	2.9	0.20199999999999999	0.24100000000000002			0.7						
Harder1988	outputs	21088	plasma	caffeine	auc_inf	mg*h/l	2884			829.0	20.6	2.42	0.408			8.4						
Harder1988	outputs	21090	plasma	caffeine	tmax	h	2884			829.0	0.83	0.127	0.53			0.44						
Harder1988	outputs	21092	plasma	caffeine	cmax	µg/ml	2884			829.0	4.09	0.248	0.21			0.86						
Harder1988	outputs	21094	plasma	caffeine	thalf	h	2884			829.0	3.2	0.318	0.344			1.1						
Harder1988	outputs	21096	plasma	caffeine	auc_inf	mg*h/l	2884			829.0	21.4	2.83	0.45799999999999996			9.8						
Harder1988	outputs	21098	plasma	caffeine	tmax	h	2884			829.0	0.6	0.0577	0.33299999999999996			0.2						
Harder1988	outputs	21100	plasma	caffeine	cmax	µg/ml	2884			829.0	4.33	0.228	0.182			0.79						
Harder1988	outputs	21102	plasma	caffeine	thalf	h	2884			829.0	3.3	0.318	0.33299999999999996			1.1						
Harder1988	outputs	21104	plasma	caffeine	auc_inf	mg*h/l	2884			829.0	21.8	2.51	0.39899999999999997			8.7						
Harder1988	outputs	21106	plasma	caffeine	tmax	h	2884			829.0	1.1	0.17300000000000001	0.545			0.6						
Harder1988	outputs	21108	plasma	caffeine	cmax	µg/ml	2884			829.0	3.86	0.159	0.142			0.55						
Harder1988	outputs	21110	plasma	caffeine	thalf	h	2884			829.0	3.4	0.34600000000000003	0.353			1.2						
Harder1988	outputs	21112	plasma	caffeine	auc_inf	mg*h/l	2884			829.0	21.4	2.66	0.43			9.2						
Harder1988	outputs	21114	plasma	caffeine	tmax	h	2884			829.0	1.0	0.14400000000000002	0.5			0.5						
Harder1988	outputs	21116	plasma	caffeine	cmax	µg/ml	2884			829.0	3.94	0.17300000000000001	0.152			0.6						
Harder1988	outputs	21118	plasma	caffeine	thalf	h	2884			829.0	3.4	0.26	0.265			0.9						
Harder1988	outputs	21120	plasma	caffeine	auc_inf	mg*h/l	2884			829.0	22.4	2.17	0.335			7.5						
Harder1988	outputs	21122	plasma	caffeine	tmax	h	2884			829.0	0.71	0.0751	0.366			0.26						
Harder1988	outputs	21124	plasma	caffeine	cmax	µg/ml	2884			829.0	4.49	0.37200000000000005	0.287			1.29						
Harder1988	outputs	21126	plasma	caffeine	thalf	h	2884			829.0	3.4	0.289	0.294			1.0						
Harder1988	outputs	21128	plasma	caffeine	auc_inf	mg*h/l	2884			829.0	20.4	1.96	0.33299999999999996			6.8						
Harder1988	outputs	21130	plasma	caffeine	tmax	h	2884			829.0	0.9	0.115	0.444			0.4						
Harder1988	outputs	21132	plasma	caffeine	cmax	µg/ml	2884			829.0	3.91	0.306	0.271			1.06						
Harder1988	outputs	21134	plasma	caffeine	thalf	h	2884			829.0	3.0	0.318	0.36700000000000005			1.1						
Harder1988	outputs	21136	plasma	caffeine	auc_inf	mg*h/l	2884			829.0	20.0	2.25	0.39			7.8						
Harder1988	outputs	21138	plasma	caffeine	tmax	h	2884			829.0	0.8	0.0866	0.375			0.3						
Harder1988	outputs	21140	plasma	caffeine	cmax	µg/ml	2884			829.0	3.99	0.231	0.201			0.8						
Harder1988	outputs	21142	plasma	caffeine	thalf	h	2884			829.0	3.4	0.34600000000000003	0.353			1.2						
Harder1988	outputs	21144	plasma	caffeine	auc_inf	mg*h/l	2884			829.0	21.8	2.51	0.39899999999999997			8.7						
Harder1988	outputs	21146	plasma	caffeine	tmax	h	2884			829.0	1.0	0.14400000000000002	0.5			0.5						
