study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
Campbell1987a	oral contraceptive (OC)	S1	D1	caffeine	Tab2	E1	plasma	clearance	yes	0.87		0.06				ml/min/kg	
Campbell1987a	oral contraceptive (OC)	S1	D1	caffeine	Tab2	E1	plasma	thalf		9.2		0.7				h	
Campbell1987a	oral contraceptive (OC)	S1	D1	caffeine	Tab2	E1	plasma	kel		77					5	1/h	
Campbell1987a	nonsmokers	S2	D1	caffeine	Tab2	E2	plasma	clearance	yes	0.94		0.08				ml/min/kg	
Campbell1987a	nonsmokers	S2	D1	caffeine	Tab2	E2	plasma	thalf		6.8		0.8				h	
Campbell1987a	nonsmokers	S2	D1	caffeine	Tab2	E2	plasma	kel		106		0.01				1/h	
Campbell1987a	smokers	S3	D1	caffeine	Tab2	E3	plasma	clearance		1.94		0.21				ml/min/kg	
Campbell1987a	smokers	S3	D1	caffeine	Tab2	E3	plasma	thalf		4		0.6				h	
Campbell1987a	smokers	S3	D1	caffeine	Tab2	E3	plasma	kel		189		33				1/h	
Cheng1990	control	S1	D1	caffeine	Tab2	E1	plasma	clearance	yes	1.52	0.61					ml/min/kg	
Cheng1990	control	S1	D1	caffeine	Tab2	E1	plasma	vd		0.51	0.17					l/kg	
Cheng1990	control	S1	D1	caffeine	Tab2	E1	plasma	thalf		4.5	2.4					h	
Cheng1990	control	S1	D2	caffeine	Tab2	E2	plasma	clearance	yes	1.14	0.33					ml/min/kg	
Cheng1990	control	S1	D2	caffeine	Tab2	E2	plasma	vd	yes	0.54	0.07					l/kg	
Cheng1990	control	S1	D2	caffeine	Tab2	E2	plasma	thalf		6	1.9					h	
Cheng1990	control	S1	D3	caffeine	Tab2	E3	plasma	clearance	yes	1.08	0.29					ml/min/kg	
Cheng1990	control	S1	D3	caffeine	Tab2	E3	plasma	vd	yes	0.55	0.11					l/kg	
Cheng1990	control	S1	D3	caffeine	Tab2	E3	plasma	thalf		6.4	3.3					h	
Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	clearance		118	33			90	176	ml/min	
Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	clearance	yes	1.61	0.43					ml/min/kg	
Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	vd		43	6			33	50	l	
Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	vd		0.58	0.08					l/kg	
Joeres1988	smokers	S1	D1	caffeine	Tab2	E1	plasma	thalf		257	48			195	334	min	
Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	clearance		77	22			58	107	ml/min	
Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	clearance	yes	1.05	0.28					ml/min/kg	
Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	vd		35	6			30	43	l	
Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	vd	yes	0.46	0.08					l/kg	
Joeres1988	abstinent	S2	D1	caffeine	Tab2	E2	plasma	thalf		356	131			199	516	min	
Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	clearance		104	40			65	176	ml/min	
Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	clearance	yes	1.43	0.54					ml/min/kg	
Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	vd		37	11			22	50	l	
Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	vd	yes	0.51	0.13					l/kg	
Joeres1988	smokers	S3	D1	caffeine	Tab3	E1	plasma	thalf		286	76			198	402	min	
Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	clearance		64	20			28	102	ml/min	
Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	clearance	yes	0.96	0.35					ml/min/kg	
Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	vd		29	8			17	46	l	
Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	vd	yes	0.41	0.07					l/kg	
Joeres1988	nonsmokers	S4	D1	caffeine	Tab3	E2	plasma	thalf		336	134			159	662	min	
Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	clearance		63	63			1	230	ml/min	
Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	clearance	yes	0.9	0.85					ml/min/kg	
Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	vd		37	15			16	62	l	
Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	vd	yes	0.53	0.22					l/kg	
Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	thalf		899	683			161	2390	min	
Joeres1988	smokers	S5	D1	caffeine	Tab4	E1	plasma	cmax		2.1	4.5			0.1	18.4	µg/ml	
Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	clearance		34	49			1	270	ml/min	
Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	clearance	yes	0.47	0.67					ml/min/kg	
Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	vd		40	20			19	73	l	
Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	vd	yes	0.55	0.26					l/kg	
Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	thalf		1415	1328			148	5542	min	
Joeres1988	nonsmokers	S6	D1	caffeine	Tab4	E2	plasma	cmax		5.1	6.1			0.1	23	µg/ml	
Renner1984	control	S1	D1	caffeine	Tab3	E1	plasma	clearance	yes	2.02	0.68			1.3	3.56	ml/min/kg	
Renner1984	control	S1	D1	caffeine	Tab3	E1	plasma	vd	yes	0.64	0.13			0.48	0.97	l/kg	
Renner1984	control	S1	D1	caffeine	Tab3	E1	plasma	thalf		3.8	0.9			2.1	4.7	h	
Renner1984	cirrhosis	S2	D1	caffeine	Tab3	E2	plasma	clearance	yes	0.67	0.42			0.14	1.29	ml/min/kg	
Renner1984	cirrhosis	S2	D1	caffeine	Tab3	E2	plasma	vd		0.57	0.14			0.37	0.72	l/kg	
Renner1984	cirrhosis	S2	D1	caffeine	Tab3	E2	plasma	thalf		17.5	16.5			4.5	50.2	h	
Renner1984	pbc	S3	D1	caffeine	Tab3	E3	plasma	clearance	yes	0.87	0.37			0.42	1.33	ml/min/kg	
Renner1984	pbc	S3	D1	caffeine	Tab3	E3	plasma	vd		0.57	0.2			0.25	0.86	l/kg	
Renner1984	pbc	S3	D1	caffeine	Tab3	E3	plasma	thalf		9.4	5.9			5.1	18.3	h	
Renner1984	misc liver disease	S4	D1	caffeine	Tab3	E4	plasma	clearance	yes	1.52	0.48			0.61	2.34	ml/min/kg	
Renner1984	misc liver disease	S4	D1	caffeine	Tab3	E4	plasma	vd		0.55	0.07			0.42	0.62	l/kg	
Renner1984	misc liver disease	S4	D1	caffeine	Tab3	E4	plasma	thalf		4.7	2.1			3	10.4	h	
Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	clearance		105		17.6				ml/min	
