	study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
455	Harder1988	control_PPA	S1	D_CAF	paraxanthine	Tab4	E5	plasma	cmax		1.6	0.32					mg/l	
456	Harder1988	PPA	S1	D_CAF; D_PPA	paraxanthine	Tab4	E6	plasma	thalf		9.6	5.3					h	
457	Harder1988	PPA	S1	D_CAF; D_PPA	paraxanthine	Tab4	E6	plasma	auc		43.0	15.9					mg/l*h	dose-normalized to 3.0 mg/kg
458	Harder1988	PPA	S1	D_CAF; D_PPA	paraxanthine	Tab4	E6	plasma	tmax		14.4	5.6					h	
459	Harder1988	PPA	S1	D_CAF; D_PPA	paraxanthine	Tab4	E6	plasma	cmax		1.28	0.26					mg/l	
460	Harder1988	control_CIP1	S1	D_CAF	paraxanthine	Tab4	E7	plasma	thalf		2.6	1.4					h	
461	Harder1988	control_CIP1	S1	D_CAF	paraxanthine	Tab4	E7	plasma	auc		26.6	7.5					mg/l*h	dose-normalized to 3.0 mg/kg
462	Harder1988	control_CIP1	S1	D_CAF	paraxanthine	Tab4	E7	plasma	tmax		5.7	2.9					h	
463	Harder1988	control_CIP1	S1	D_CAF	paraxanthine	Tab4	E7	plasma	cmax		1.57	0.33					mg/l	
464	Harder1988	CIP1	S1	D_CAF; D_CIP1	paraxanthine	Tab4	E8	plasma	thalf		3.3	1.7					h	
465	Harder1988	CIP1	S1	D_CAF; D_CIP1	paraxanthine	Tab4	E8	plasma	auc		23.0	8.9					mg/l*h	dose-normalized to 3.0 mg/kg
466	Harder1988	CIP1	S1	D_CAF; D_CIP1	paraxanthine	Tab4	E8	plasma	tmax		6.5	3.3					h	
467	Harder1988	CIP1	S1	D_CAF; D_CIP1	paraxanthine	Tab4	E8	plasma	cmax		1.48	0.31					mg/l	
468	Harder1988	control_CIP2	S1	D_CAF	paraxanthine	Tab4	E9	plasma	thalf		3.0	1.0					h	
469	Harder1988	control_CIP2	S1	D_CAF	paraxanthine	Tab4	E9	plasma	auc		18.5	7.8					mg/l*h	dose-normalized to 3.0 mg/kg
470	Harder1988	control_CIP2	S1	D_CAF	paraxanthine	Tab4	E9	plasma	tmax		5.3	2.9					h	
471	Harder1988	control_CIP2	S1	D_CAF	paraxanthine	Tab4	E9	plasma	cmax		1.15	0.19					mg/l	
472	Harder1988	CIP2	S1	D_CAF; D_CIP2	paraxanthine	Tab4	E10	plasma	thalf		4.1	1.8					h	
473	Harder1988	CIP2	S1	D_CAF; D_CIP2	paraxanthine	Tab4	E10	plasma	auc		20.2	8.3					mg/l*h	dose-normalized to 3.0 mg/kg
474	Harder1988	CIP2	S1	D_CAF; D_CIP2	paraxanthine	Tab4	E10	plasma	tmax		7.09	2.34					h	
475	Harder1988	CIP2	S1	D_CAF; D_CIP2	paraxanthine	Tab4	E10	plasma	cmax		1.19	0.23					mg/l	
476	Harder1988	control_CIP3	S1	D_CAF	paraxanthine	Tab4	E11	plasma	thalf		2.6	0.9					h	
477	Harder1988	control_CIP3	S1	D_CAF	paraxanthine	Tab4	E11	plasma	auc		20.2	8.3					mg/l*h	dose-normalized to 3.0 mg/kg
478	Harder1988	control_CIP3	S1	D_CAF	paraxanthine	Tab4	E11	plasma	tmax		4.3	1.4					h	
479	Harder1988	control_CIP3	S1	D_CAF	paraxanthine	Tab4	E11	plasma	cmax		1.38	0.35					mg/l	
480	Harder1988	CIP3	S1	D_CAF; D_CIP3	paraxanthine	Tab4	E12	plasma	thalf		4.4	1.3					h	
481	Harder1988	CIP3	S1	D_CAF; D_CIP3	paraxanthine	Tab4	E12	plasma	auc		26.6	11.3					mg/l*h	dose-normalized to 3.0 mg/kg
482	Harder1988	CIP3	S1	D_CAF; D_CIP3	paraxanthine	Tab4	E12	plasma	tmax		7.7	3.1					h	
483	Harder1988	CIP3	S1	D_CAF; D_CIP3	paraxanthine	Tab4	E12	plasma	cmax		1.33	0.22					mg/l	
484	Harder1988	control_ENX1	S1	D_CAF	paraxanthine	Tab4	E13	plasma	thalf		2.6	1.2					h	
485	Harder1988	control_ENX1	S1	D_CAF	paraxanthine	Tab4	E13	plasma	auc		22.7	8.5					mg/l*h	dose-normalized to 3.0 mg/kg
486	Harder1988	control_ENX1	S1	D_CAF	paraxanthine	Tab4	E13	plasma	tmax		5.5	2.6					h	
487	Harder1988	control_ENX1	S1	D_CAF	paraxanthine	Tab4	E13	plasma	cmax		1.57	0.27					mg/l	
488	Harder1988	ENX1	S1	D_CAF; D_ENX1	paraxanthine	Tab4	E14	plasma	thalf		4.7	1.8					h	
489	Harder1988	ENX1	S1	D_CAF; D_ENX1	paraxanthine	Tab4	E14	plasma	auc		32.4	9.9					mg/l*h	dose-normalized to 3.0 mg/kg
490	Harder1988	ENX1	S1	D_CAF; D_ENX1	paraxanthine	Tab4	E14	plasma	tmax		9.9	3.6					h	
491	Harder1988	ENX1	S1	D_CAF; D_ENX1	paraxanthine	Tab4	E14	plasma	cmax		1.33	0.22					mg/l	
492	Harder1988	control_ENX2	S1	D_CAF	paraxanthine	Tab4	E15	plasma	thalf		3.1	1.4					h	
493	Harder1988	control_ENX2	S1	D_CAF	paraxanthine	Tab4	E15	plasma	auc		21.9	5.8					mg/l*h	dose-normalized to 3.0 mg/kg
494	Harder1988	control_ENX2	S1	D_CAF	paraxanthine	Tab4	E15	plasma	tmax		5.3	2.6					h	
495	Harder1988	control_ENX2	S1	D_CAF	paraxanthine	Tab4	E15	plasma	cmax		1.57	0.3					mg/l	
496	Harder1988	ENX2	S1	D_CAF; D_ENX2	paraxanthine	Tab4	E16	plasma	thalf		7.9	3.9					h	
497	Harder1988	ENX2	S1	D_CAF; D_ENX2	paraxanthine	Tab4	E16	plasma	auc		39.2	9.1					mg/l*h	dose-normalized to 3.0 mg/kg
498	Harder1988	ENX2	S1	D_CAF; D_ENX2	paraxanthine	Tab4	E16	plasma	tmax		12.6	4.7					h	
499	Harder1988	ENX2	S1	D_CAF; D_ENX2	paraxanthine	Tab4	E16	plasma	cmax		1.24	0.27					mg/l	
500	Harder1988	control_ENX3	S1	D_CAF	paraxanthine	Tab4	E17	plasma	thalf		2.7	1.1					h	
501	Harder1988	control_ENX3	S1	D_CAF	paraxanthine	Tab4	E17	plasma	auc		22.6	9.8					mg/l*h	dose-normalized to 3.0 mg/kg
502	Harder1988	control_ENX3	S1	D_CAF	paraxanthine	Tab4	E17	plasma	tmax		5.15	1.55					h	
503	Harder1988	control_ENX3	S1	D_CAF	paraxanthine	Tab4	E17	plasma	cmax		1.23	0.22					mg/l	
504	Harder1988	ENX3	S1	D_CAF; D_ENX3	paraxanthine	Tab4	E18	plasma	thalf		14.3	20.8					h	
505	Harder1988	ENX3	S1	D_CAF; D_ENX3	paraxanthine	Tab4	E18	plasma	auc		100.8	31.5					mg/l*h	dose-normalized to 3.0 mg/kg
506	Harder1988	ENX3	S1	D_CAF; D_ENX3	paraxanthine	Tab4	E18	plasma	tmax		20.73	6.03					h	
507	Harder1988	ENX3	S1	D_CAF; D_ENX3	paraxanthine	Tab4	E18	plasma	cmax		1.35	0.53					mg/l	
510	Harder1988	control_NOR	S1	D_CAF	caffeine	Tab4	E3	plasma	clearance	yes	166.0	68.0					ml/h/kg	caffeine clearance is the dose divided by AUC
511	Harder1988	NOR	S1	D_CAF; D_NOR	caffeine	Tab4	E4	plasma	clearance	yes	142.0	63.0					ml/h/kg	caffeine clearance is the dose divided by AUC
512	Harder1988	control_PPA	S1	D_CAF	caffeine	Tab4	E5	plasma	clearance	yes	159.0	61.0					ml/h/kg	caffeine clearance is the dose divided by AUC
513	Harder1988	PPA	S1	D_CAF; D_PPA	caffeine	Tab4	E6	plasma	clearance	yes	56.0	18.0					ml/h/kg	caffeine clearance is the dose divided by AUC
514	Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab4	E7	plasma	clearance	yes	168.0	91.0					ml/h/kg	caffeine clearance is the dose divided by AUC
515	Harder1988	CIP1	S1	D_CAF; D_CIP1	caffeine	Tab4	E8	plasma	clearance	yes	138.0	54.0					ml/h/kg	caffeine clearance is the dose divided by AUC
516	Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab4	E9	plasma	clearance	yes	143.0	54.0					ml/h/kg	caffeine clearance is the dose divided by AUC
517	Harder1988	CIP2	S1	D_CAF; D_CIP2	caffeine	Tab4	E10	plasma	clearance	yes	99.0	32.0					ml/h/kg	caffeine clearance is the dose divided by AUC
518	Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab4	E11	plasma	clearance	yes	170.0	83.0					ml/h/kg	caffeine clearance is the dose divided by AUC
519	Harder1988	CIP3	S1	D_CAF; D_CIP3	caffeine	Tab4	E12	plasma	clearance	yes	111.0	53.0					ml/h/kg	caffeine clearance is the dose divided by AUC
520	Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab4	E13	plasma	clearance	yes	174.0	73.0					ml/h/kg	caffeine clearance is the dose divided by AUC
521	Harder1988	ENX1	S1	D_CAF; D_ENX1	caffeine	Tab4	E14	plasma	clearance	yes	71.0	24.0					ml/h/kg	caffeine clearance is the dose divided by AUC
522	Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab4	E15	plasma	clearance	yes	157.0	60.0					ml/h/kg	caffeine clearance is the dose divided by AUC
523	Harder1988	ENX2	S1	D_CAF; D_ENX2	caffeine	Tab4	E16	plasma	clearance	yes	54.0	17.0					ml/h/kg	caffeine clearance is the dose divided by AUC
524	Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab4	E17	plasma	clearance	yes	149.0	68.0					ml/h/kg	caffeine clearance is the dose divided by AUC
525	Harder1988	ENX3	S1	D_CAF; D_ENX3	caffeine	Tab4	E18	plasma	clearance	yes	32.0	9.0					ml/h/kg	caffeine clearance is the dose divided by AUC
