study	pk	interventions	tissue	time_unit	time	substance_name	unit	pktype	figure	auc_end	group_pk	mean	kel	se	cv	individual_pk	value	sd	median	max	min
Carrillo2000a	1899	2840	urine	h	['4.00e+00', '8.00e+00', '2.40e+01']	caffeine	µmol	cum_amount	/media/data/Carrillo2000a_Fig2.png	542.08	803.0	['9.06e+00', '1.81e+01', '4.29e+01']									
Carrillo2000a	1900	2840	urine	h	['4.00e+00', '8.00e+00', '2.40e+01']	caffeine	µmol	cum_amount	/media/data/Carrillo2000a_Fig2.png	446.85999999999996	804.0	['8.86e+00', '1.89e+01', '3.00e+01']									
Carrillo2000a	1905	2840	urine	h	['4.00e+00', '8.00e+00', '2.40e+01']	17U	µmol	cum_amount	/media/data/Carrillo2000a_Fig2.png	111.74000000000001	801.0	['3.64e+00', '5.11e+00', '6.67e+00']									
Carrillo2000a	1906	2840	urine	h	['4.00e+00', '8.00e+00', '2.40e+01']	17U	µmol	cum_amount	/media/data/Carrillo2000a_Fig2.png	55.6	802.0	['1.85e+00', '2.63e+00', '3.20e+00']									
Carrillo2000a	1907	2840	urine	h	['4.00e+00', '8.00e+00', '2.40e+01']	17U	µmol	cum_amount	/media/data/Carrillo2000a_Fig2.png	222.12	803.0	['6.30e+00', '9.40e+00', '1.44e+01']									
Carrillo2000a	1908	2840	urine	h	['4.00e+00', '8.00e+00', '2.40e+01']	17U	µmol	cum_amount	/media/data/Carrillo2000a_Fig2.png	57.54	804.0	['1.68e+00', '2.41e+00', '3.76e+00']									
Turpault2009	2107	3142	plasma	h	['0.00e+00', '5.00e-01', '1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '1.20e+01', '2.40e+01']	caffeine	µg/ml	concentration	/media/data/Turpault2009_Fig1.png		883.0	['2.40e+02', '2.24e+03', '2.19e+03', '1.86e+03', '1.64e+03', '1.45e+03', None, '1.07e+03', None, '8.33e+02', '4.70e+02', '1.17e+02']		['7.70e+01', '1.26e+02', '9.55e+01', '7.89e+01', '7.99e+01', '7.41e+01', None, '7.11e+01', None, '6.53e+01', '4.29e+01', '1.56e+01']	['1.76e+00', '3.08e-01', '2.39e-01', '2.33e-01', '2.67e-01', '2.79e-01', None, '3.65e-01', None, '4.29e-01', '5.00e-01', '7.27e-01']			['4.22e+02', '6.89e+02', '5.23e+02', '4.32e+02', '4.38e+02', '4.06e+02', None, '3.90e+02', None, '3.58e+02', '2.35e+02', '8.54e+01']			
Culm-Merdek2005	1916	2848	plasma	h	['-5.00e-01', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '2.40e+01']	caffeine	µg/ml	concentration		45.9225	808.0	['1.40e-01', '4.33e+00', '5.19e+00', '4.78e+00', '4.53e+00', '4.35e+00', '3.94e+00', '3.56e+00', '3.01e+00', '2.51e+00', '1.97e+00', '2.70e-01']	0.12870696880915522	['7.00e-02', '9.60e-01', '5.00e-01', '3.30e-01', '3.20e-01', '3.30e-01', '2.60e-01', '3.50e-01', '3.70e-01', '3.20e-01', '3.10e-01', '1.10e-01']	['1.32e+00', '5.87e-01', '2.55e-01', '1.83e-01', '1.87e-01', '2.01e-01', '1.75e-01', '2.60e-01', '3.25e-01', '3.37e-01', '4.16e-01', '1.08e+00']						
Culm-Merdek2005	1918	2848	plasma	h	['-5.00e-01', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '2.40e+01']	paraxanthine	µg/ml	concentration		29.2825	808.0	['1.70e-01', '5.80e-01', '9.40e-01', '1.08e+00', '1.31e+00', '1.40e+00', '1.47e+00', '1.66e+00', '1.72e+00', '1.75e+00', '1.69e+00', '5.10e-01']	0.07094559927186	['9.00e-02', '1.20e-01', '1.30e-01', '1.00e-01', '1.30e-01', '1.20e-01', '1.20e-01', '1.10e-01', '7.00e-02', '9.00e-02', '1.00e-01', '1.50e-01']	['1.40e+00', '5.47e-01', '3.66e-01', '2.45e-01', '2.63e-01', '2.27e-01', '2.16e-01', '1.75e-01', '1.08e-01', '1.36e-01', '1.57e-01', '7.78e-01']						
Culm-Merdek2005	1920	2848	plasma	h	['-5.00e-01', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '8.00e+00', '2.40e+01']	fluvoxamine	µg/ml	concentration			808.0	['5.64e-02', None, '9.01e-02', None, '1.09e-01', None, '1.02e-01', '9.60e-02', None, '9.25e-02', '1.15e-01', '7.81e-02']		['1.44e-02', None, '1.75e-02', None, '2.38e-02', None, '1.68e-02', '1.51e-02', None, '2.80e-02', '2.91e-02', '1.89e-02']	['6.74e-01', None, '5.15e-01', None, '5.80e-01', None, '4.38e-01', '4.15e-01', None, '8.02e-01', '6.72e-01', '6.41e-01']						
Patwardhan1980	2062	3102	plasma	h	['2.60e-01', '4.00e-01', '6.00e-01', '8.60e-01', '1.43e+00', '1.94e+00', '2.46e+00', '2.91e+00', '3.86e+00', '4.89e+00', '6.88e+00', '7.84e+00', '2.26e+01']	caffeine	µg/ml	concentration	/media/data/Patwardhan1980_Fig1.png	38.9644	865.0	['4.01e+00', '5.42e+00', '7.06e+00', '6.39e+00', '5.78e+00', '4.95e+00', '4.70e+00', '4.17e+00', '3.24e+00', '2.62e+00', '2.01e+00', '1.49e+00', '1.00e-01']	0.19131385494772638	['9.80e-01', '7.90e-01', '7.40e-01', '7.10e-01', '6.50e-01', '4.90e-01', '4.30e-01', '3.30e-01', '1.80e-01', '1.10e-01', '8.00e-02', '5.00e-02', '2.00e-02']	['8.81e-01', '5.26e-01', '3.78e-01', '4.01e-01', '4.05e-01', '3.57e-01', '3.30e-01', '2.85e-01', '2.00e-01', '1.51e-01', '1.44e-01', '1.21e-01', '7.21e-01']						
Haller2002	1922	2882	plasma	h	['0.00e+00', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.10e+01', '1.40e+01']	caffeine	µg/ml	concentration	/media/data/Haller2002_Fig1.png	47.56	828.0	['1.09e+00', '3.16e+00', '5.13e+00', '5.43e+00', '5.41e+00', '4.45e+00', '3.74e+00', '3.11e+00', '2.30e+00', '1.74e+00']	0.09273949357935861	['5.60e-01', '5.60e-01', '5.10e-01', '6.30e-01', '5.60e-01', '5.30e-01', '4.50e-01', '4.50e-01', '4.30e-01', '4.00e-01']	['1.45e+00', '5.01e-01', '2.81e-01', '3.28e-01', '2.93e-01', '3.37e-01', '3.40e-01', '4.09e-01', '5.29e-01', '6.50e-01']						
Patwardhan1980	2063	3102	plasma	h	['1.30e-01', '2.80e-01', '6.50e-01', '1.31e+00', '1.57e+00', '1.76e+00', '2.66e+00', '3.63e+00', '5.76e+00', '7.75e+00', '2.39e+01', '3.19e+01']	caffeine	µg/ml	concentration	/media/data/Patwardhan1980_Fig1.png	57.3981	866.0	['2.39e+00', '4.92e+00', '5.88e+00', '4.92e+00', '4.61e+00', '4.72e+00', '4.35e+00', '3.56e+00', '3.19e+00', '2.69e+00', '4.70e-01', '2.10e-01']	0.10384114182735397	['8.20e-01', '1.20e+00', '1.18e+00', '6.20e-01', '4.60e-01', '5.00e-01', '4.30e-01', '2.20e-01', '2.70e-01', '3.00e-01', '1.00e-02', '1.00e-02']	['1.03e+00', '7.32e-01', '6.02e-01', '3.78e-01', '2.99e-01', '3.18e-01', '2.97e-01', '1.85e-01', '2.54e-01', '3.35e-01', '6.38e-02', '1.43e-01']						
Patwardhan1980	2064	3102	plasma	h	['2.90e-01', '3.10e-01', '5.00e-01', '6.80e-01', '1.21e+00', '1.72e+00', '2.69e+00', '3.66e+00', '4.63e+00', '5.72e+00', '7.77e+00', '2.38e+01', '3.18e+01']	caffeine	µg/ml	concentration	/media/data/Patwardhan1980_Fig1.png	83.53079999999999	867.0	['3.79e+00', '6.32e+00', '6.83e+00', '7.37e+00', '6.00e+00', '6.29e+00', '5.09e+00', '4.81e+00', '4.20e+00', '4.23e+00', '3.76e+00', '1.14e+00', '7.20e-01']	0.07137446244418752	['1.18e+00', '8.70e-01', '8.10e-01', '9.70e-01', '5.20e-01', '4.20e-01', '5.40e-01', '4.40e-01', '8.40e-01', '6.10e-01', '4.00e-01', '1.30e-01', '5.00e-02']	['9.34e-01', '4.13e-01', '3.56e-01', '3.95e-01', '2.60e-01', '2.00e-01', '3.18e-01', '2.74e-01', '6.00e-01', '4.33e-01', '3.19e-01', '3.42e-01', '2.08e-01']						
Turpault2009	2109	3142	plasma	h	['0.00e+00', '5.00e-01', '1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '1.20e+01', '2.40e+01']	paraxanthine	µg/ml	concentration	/media/data/Turpault2009_Fig1.png		883.0	['6.63e+02', '7.98e+02', '9.10e+02', '9.42e+02', '1.01e+03', '1.02e+03', None, '9.77e+02', None, '9.13e+02', '7.11e+02', '2.91e+02']		['1.25e+02', '9.12e+01', '1.00e+02', '7.84e+01', '8.42e+01', '8.54e+01', None, '8.25e+01', None, '6.90e+01', '6.20e+01', '4.09e+01']	['1.03e+00', '6.26e-01', '6.02e-01', '4.56e-01', '4.56e-01', '4.58e-01', None, '4.62e-01', None, '4.14e-01', '4.77e-01', '7.69e-01']			['6.85e+02', '5.00e+02', '5.48e+02', '4.29e+02', '4.61e+02', '4.68e+02', None, '4.52e+02', None, '3.78e+02', '3.40e+02', '2.24e+02']			
Turpault2009	2111	3142	plasma	h	['0.00e+00', '5.00e-01', '1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '1.20e+01', '2.40e+01']	paraxanthine/caffeine	-	ratio	/media/data/Turpault2009_Fig1.png		883.0	['2.76e+00', '3.60e-01', '4.20e-01', '5.10e-01', '6.20e-01', '7.00e-01', None, '9.20e-01', None, '1.10e+00', '1.51e+00', '2.48e+00']		['1.03e+00', '4.56e-02', '4.93e-02', '4.75e-02', '6.02e-02', '6.94e-02', None, '9.86e-02', None, '1.19e-01', '1.92e-01', '4.80e-01']	['2.04e+00', '6.94e-01', '6.43e-01', '5.10e-01', '5.32e-01', '5.43e-01', None, '5.87e-01', None, '5.91e-01', '6.95e-01', '1.06e+00']			['5.62e+00', '2.50e-01', '2.70e-01', '2.60e-01', '3.30e-01', '3.80e-01', None, '5.40e-01', None, '6.50e-01', '1.05e+00', '2.63e+00']			
Turpault2009	2115	3148	plasma	h	['0.00e+00', '5.00e-01', '1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '5.00e+00', '6.00e+00', '7.00e+00', '8.00e+00', '1.20e+01', '2.40e+01', '4.80e+01']	metropolol	µg/ml	concentration	/media/data/Turpault2009_Fig1.png		883.0	['2.80e-04', '3.95e-02', '9.24e-02', '7.84e-02', '6.85e-02', '5.31e-02', None, '3.38e-02', None, '2.10e-02', '7.39e-03', '2.80e-04', '5.70e-04']		[None, '7.42e-03', '1.02e-02', '6.54e-03', '7.37e-03', '5.97e-03', None, '4.25e-03', None, '2.75e-03', '1.71e-03', None, None]	[None, '1.03e+00', '6.06e-01', '4.57e-01', '5.89e-01', '6.15e-01', None, '6.89e-01', None, '7.16e-01', '1.27e+00', None, None]			[None, '4.06e-02', '5.60e-02', '3.58e-02', '4.04e-02', '3.27e-02', None, '2.33e-02', None, '1.51e-02', '9.38e-03', None, None]			
Healy1991	1925	3040	plasma	h	['0.00e+00', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.20e+01', '1.60e+01', '2.40e+01', '3.20e+01', '4.80e+01']	caffeine	µg/ml	concentration	/media/data/Healy1991_Fig1.png	32.035	832.0	['1.50e-01', '1.07e+00', '3.16e+00', '4.13e+00', '3.95e+00', '3.54e+00', '3.37e+00', '3.07e+00', '2.88e+00', '2.67e+00', '2.01e+00', '1.47e+00', '8.80e-01', '5.10e-01', '1.80e-01', '7.00e-02', '0.00e+00']		['4.25e-02', '1.68e-01', '3.38e-01', '1.17e-01', '8.50e-02', '9.25e-02', '9.50e-02', '1.15e-01', '1.05e-01', '1.10e-01', '1.10e-01', '8.25e-02', '8.50e-02', '6.25e-02', '2.25e-02', '2.25e-02', '1.50e-02']	['1.13e+00', '6.26e-01', '4.27e-01', '1.14e-01', '8.61e-02', '1.05e-01', '1.13e-01', '1.50e-01', '1.46e-01', '1.65e-01', '2.19e-01', '2.24e-01', '3.86e-01', '4.90e-01', '5.00e-01', '1.29e+00', None]			['1.70e-01', '6.70e-01', '1.35e+00', '4.70e-01', '3.40e-01', '3.70e-01', '3.80e-01', '4.60e-01', '4.20e-01', '4.40e-01', '4.40e-01', '3.30e-01', '3.40e-01', '2.50e-01', '9.00e-02', '9.00e-02', '6.00e-02']			
Healy1991	1929	3040	plasma	h	['0.00e+00', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.20e+01', '1.60e+01', '2.40e+01', '3.20e+01', '4.80e+01']	paraxanthine	µg/ml	concentration	/media/data/Healy1991_Fig2.png	25.691249999999997	832.0	['3.60e-01', '4.60e-01', '6.40e-01', '8.10e-01', '8.50e-01', '9.70e-01', '1.09e+00', '1.09e+00', '1.18e+00', '1.26e+00', '1.29e+00', '1.24e+00', '9.90e-01', '7.40e-01', '3.70e-01', '1.90e-01', '7.00e-02']	0.0727136366759555	['5.00e-02', '5.25e-02', '6.50e-02', '8.00e-02', '4.25e-02', '4.25e-02', '5.00e-02', '4.50e-02', '4.25e-02', '4.75e-02', '5.50e-02', '6.50e-02', '5.75e-02', '7.25e-02', '4.25e-02', '3.75e-02', '3.75e-02']	['5.56e-01', '4.57e-01', '4.06e-01', '3.95e-01', '2.00e-01', '1.75e-01', '1.83e-01', '1.65e-01', '1.44e-01', '1.51e-01', '1.71e-01', '2.10e-01', '2.32e-01', '3.92e-01', '4.59e-01', '7.89e-01', '2.14e+00']			['2.00e-01', '2.10e-01', '2.60e-01', '3.20e-01', '1.70e-01', '1.70e-01', '2.00e-01', '1.80e-01', '1.70e-01', '1.90e-01', '2.20e-01', '2.60e-01', '2.30e-01', '2.90e-01', '1.70e-01', '1.50e-01', '1.50e-01']			
Healy1991	1933	3040	plasma	h	['0.00e+00', '2.50e-01', '5.00e-01', '7.50e-01', '1.00e+00', '1.50e+00', '2.00e+00', '2.50e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.20e+01', '1.60e+01', '2.40e+01', '3.20e+01', '4.80e+01']	paraxanthine/caffeine	-	ratio			832.0	['2.33e+00', '4.30e-01', '2.00e-01', '2.00e-01', '2.20e-01', '2.70e-01', '3.20e-01', '3.50e-01', '4.10e-01', '4.70e-01', '6.40e-01', '8.40e-01', '1.12e+00', '1.46e+00', '2.07e+00', '2.81e+00', None]		['1.52e-01', '7.50e-02', '7.00e-02', '2.75e-02', '2.00e-02', '2.75e-02', '3.50e-02', '4.50e-02', '4.50e-02', '5.75e-02', '8.00e-02', '9.00e-02', '1.15e-01', '1.40e-01', '9.75e-02', '1.22e-01', None]	['2.62e-01', '6.98e-01', '1.40e+00', '5.50e-01', '3.64e-01', '4.07e-01', '4.38e-01', '5.14e-01', '4.39e-01', '4.89e-01', '5.00e-01', '4.29e-01', '4.11e-01', '3.84e-01', '1.88e-01', '1.74e-01', None]			['6.10e-01', '3.00e-01', '2.80e-01', '1.10e-01', '8.00e-02', '1.10e-01', '1.40e-01', '1.80e-01', '1.80e-01', '2.30e-01', '3.20e-01', '3.60e-01', '4.60e-01', '5.60e-01', '3.90e-01', '4.90e-01', None]			
Perera2011	2068	3104	plasma	h	['0.00e+00', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '2.40e+01']	caffeine	µg/ml	concentration	/media/data/Perera2011_Fig1.png	14.068999999999999	870.0	['0.00e+00', '1.44e+00', '1.46e+00', '1.43e+00', '1.38e+00', '1.12e+00', '8.16e-01', '6.59e-01', '5.17e-01', '1.21e-01']	0.11036605998322468	['0.00e+00', '1.73e-01', '1.80e-01', '1.72e-01', '1.83e-01', '1.71e-01', '1.76e-01', '1.79e-01', '1.62e-01', '1.51e-01']	[None, '6.59e-01', '6.77e-01', '6.57e-01', '7.24e-01', '8.35e-01', '1.18e+00', '1.49e+00', '1.72e+00', '6.84e+00']			['0.00e+00', '9.46e-01', '9.88e-01', '9.41e-01', '1.00e+00', '9.36e-01', '9.65e-01', '9.79e-01', '8.89e-01', '8.28e-01']			
Perera2011	2069	3104	plasma	h	['0.00e+00', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '2.40e+01']	paraxanthine	µg/ml	concentration	/media/data/Perera2011_Fig1.png	9.8485	870.0	['1.16e-01', '2.37e-01', '3.25e-01', '3.58e-01', '4.02e-01', '5.12e-01', '5.64e-01', '5.43e-01', '5.09e-01', '2.21e-01']	0.05442853201806052	['4.38e-02', '6.19e-02', '4.38e-02', '5.40e-02', '5.15e-02', '5.15e-02', '4.38e-02', '4.64e-02', '4.89e-02', '4.64e-02']	['2.07e+00', '1.43e+00', '7.38e-01', '8.27e-01', '7.01e-01', '5.51e-01', '4.26e-01', '4.68e-01', '5.27e-01', '1.15e+00']			['2.40e-01', '3.39e-01', '2.40e-01', '2.96e-01', '2.82e-01', '2.82e-01', '2.40e-01', '2.54e-01', '2.68e-01', '2.54e-01']			
Perera2011	2070	3104	plasma	h	['0.00e+00', '5.00e-01', '1.00e+00', '1.50e+00', '2.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '2.40e+01']	paraxanthine/caffeine	-	ratio	/media/data/Perera2011_Fig1.png		870.0	[None, '1.65e-01', '2.23e-01', '2.50e-01', '2.90e-01', '4.57e-01', '6.91e-01', '8.24e-01', '9.85e-01', '1.83e+00']		[None, '4.75e-02', '4.07e-02', '4.82e-02', '5.35e-02', '8.36e-02', '1.58e-01', '2.34e-01', '3.24e-01', '2.32e+00']	[None, '1.58e+00', '1.00e+00', '1.06e+00', '1.01e+00', '1.00e+00', '1.25e+00', '1.56e+00', '1.80e+00', '6.94e+00']			[None, '2.60e-01', '2.23e-01', '2.64e-01', '2.93e-01', '4.58e-01', '8.67e-01', '1.28e+00', '1.77e+00', '1.27e+01']			
