	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	time	time_unit	cv	sd	min	max	median	name	route	value_intervention	unit_intervention	substance_name_intervention	time_unit_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	('study', '')	('subject_pk', '')	('subject_name', '')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('sex', 'choice')	('sex', 'count')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('smoking', 'choice')	('smoking', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'min')	('abstinence', 'unit')	('abstinence', 'value')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('overnight fast', 'unit')	('overnight fast', 'value')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'min')	('fasted', 'unit')	('fasted', 'value')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'unit')	('alcohol abstinence', 'value')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('smoking amount (cigarettes)', 'value')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('HbA1c', 'count')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('HbA1c', 'value')	('phenotype', 'choice')	('phenotype', 'count')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'mean')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('genetics', 'choice')	('genetics', 'count')	('caffeine', 'choice')	('caffeine', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'se')	('obesity index', 'unit')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'se')	('body surface area', 'unit')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('medication type', 'choice')	('medication type', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')
19	vd	l	plasma	621	caffeine			489.0	48.7	2.8	24.0	h						D2	oral	1.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
20	clearance	ml/min	plasma	621	caffeine			489.0	133.0	14.0	24.0	h						D2	oral	1.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
21	kabs	1/h	plasma	622	caffeine			489.0	5.6	1.75	24.0	h						D3	oral	1.54	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
22	kel	1/h	plasma	622	caffeine			489.0	0.14	0.02	24.0	h						D3	oral	1.54	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
23	thalf	h	plasma	622	caffeine			489.0	5.0		24.0	h						D3	oral	1.54	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
24	auc_end	mg*h/l	plasma	622	caffeine			489.0	16.28	2.47	24.0	h	0.3					D3	oral	1.54	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
25	vd	l	plasma	622	caffeine			489.0	53.5	5.7	24.0	h						D3	oral	1.54	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
26	clearance	ml/min	plasma	622	caffeine			489.0	119.0	14.0	24.0	h						D3	oral	1.54	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
27	kabs	1/h	plasma	623	caffeine			489.0	6.31	1.91	24.0	h						D4	oral	5.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
28	kel	1/h	plasma	623	caffeine			489.0	0.11	0.02	24.0	h						D4	oral	5.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
29	thalf	h	plasma	623	caffeine			489.0	6.3		24.0	h						D4	oral	5.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
30	auc_end	mg*h/l	plasma	623	caffeine			489.0	86.07	11.52	24.0	h	0.27					D4	oral	5.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
31	vd	l	plasma	623	caffeine			489.0	39.4	1.6	24.0	h						D4	oral	5.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
32	clearance	ml/min	plasma	623	caffeine			489.0	71.0	9.0	24.0	h						D4	oral	5.0	mg/kg	caffeine	h	0.0							Bonati1982	489	all	homo sapiens	4	Y	4.0	4.0		36.0			26.0			yr		M	4	4.0			70.0					kg											Y	4.0			N																																																																																																																																										
33	cmax	µg/ml	plasma	610	caffeine			486.0	7.5	0.38			0.13	1.0				Dcaf_4mg	oral	4.0	mg/kg	caffeine	h	0.0	capsule	single dose					Benowitz1995	486	4mg	homo sapiens	12	Y	12.0	12.0		59.0	32.0		19.0			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12.0					N	12																																															12.0	0.64	1168.0	506.0	68.0	324.0	93.53	mg/day																											Y	12																																																							
34	cmax	µg/ml	plasma	610	paraxanthine			486.0	1.6	0.11			0.19	0.3				Dcaf_4mg	oral	4.0	mg/kg	caffeine	h	0.0	capsule	single dose					Benowitz1995	486	4mg	homo sapiens	12	Y	12.0	12.0		59.0	32.0		19.0			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12.0					N	12																																															12.0	0.64	1168.0	506.0	68.0	324.0	93.53	mg/day																											Y	12																																																							
35	cmax	µg/ml	plasma	612	paraxanthine			486.0	5.6	0.23			0.11	0.6				Dpx_4mg	oral	4.0	mg/kg	paraxanthine	h	0.0	capsule	single dose					Benowitz1995	486	4mg	homo sapiens	12	Y	12.0	12.0		59.0	32.0		19.0			yr		('M', 'F')	(6, 6)											N	12	('caffeine', 'alcohol')	(12, 12)		('day', None)	('3.00', None)	N	12.0					N	12																																															12.0	0.64	1168.0	506.0	68.0	324.0	93.53	mg/day																											Y	12																																																							
36	cmax	µg/ml	plasma	648	caffeine			518.0	4.09	0.25			0.21	0.86				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
37	thalf	h	plasma	648	caffeine			518.0	3.2	0.32			0.34	1.1				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
38	auc_inf	mg*h/l	plasma	648	caffeine			518.0	21.4	2.83			0.46	9.8				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
39	tmax	h	plasma	648	caffeine			518.0	0.6	0.06			0.33	0.2				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
40	cmax	µg/ml	plasma	648	caffeine			518.0	4.33	0.23			0.18	0.79				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
41	thalf	h	plasma	648	caffeine			518.0	3.3	0.32			0.33	1.1				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
42	auc_inf	mg*h/l	plasma	648	caffeine			518.0	21.8	2.51			0.4	8.7				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
43	tmax	h	plasma	648	caffeine			518.0	1.1	0.17			0.55	0.6				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
44	cmax	µg/ml	plasma	648	caffeine			518.0	3.86	0.16			0.14	0.55				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
45	thalf	h	plasma	648	caffeine			518.0	3.4	0.35			0.35	1.2				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
46	auc_inf	mg*h/l	plasma	648	caffeine			518.0	21.4	2.66			0.43	9.2				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
47	tmax	h	plasma	648	caffeine			518.0	1.0	0.14			0.5	0.5				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
48	cmax	µg/ml	plasma	648	caffeine			518.0	3.94	0.17			0.15	0.6				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
49	thalf	h	plasma	648	caffeine			518.0	3.4	0.26			0.26	0.9				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
50	auc_inf	mg*h/l	plasma	648	caffeine			518.0	22.4	2.17			0.33	7.5				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
51	tmax	h	plasma	648	caffeine			518.0	0.71	0.08			0.37	0.26				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
52	cmax	µg/ml	plasma	648	caffeine			518.0	4.49	0.37			0.29	1.29				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
53	thalf	h	plasma	648	caffeine			518.0	3.4	0.29			0.29	1.0				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
54	auc_inf	mg*h/l	plasma	648	caffeine			518.0	20.4	1.96			0.33	6.8				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
55	tmax	h	plasma	648	caffeine			518.0	0.9	0.12			0.44	0.4				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
56	cmax	µg/ml	plasma	648	caffeine			518.0	3.91	0.31			0.27	1.06				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
57	thalf	h	plasma	648	caffeine			518.0	3.0	0.32			0.37	1.1				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
58	auc_inf	mg*h/l	plasma	648	caffeine			518.0	20.0	2.25			0.39	7.8				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
59	tmax	h	plasma	648	caffeine			518.0	0.8	0.09			0.38	0.3				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
60	cmax	µg/ml	plasma	648	caffeine			518.0	3.99	0.23			0.2	0.8				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
61	thalf	h	plasma	648	caffeine			518.0	3.4	0.35			0.35	1.2				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
62	auc_inf	mg*h/l	plasma	648	caffeine			518.0	21.8	2.51			0.4	8.7				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
63	tmax	h	plasma	648	caffeine			518.0	1.0	0.14			0.5	0.5				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
64	cmax	µg/ml	plasma	648	caffeine			518.0	4.27	0.18			0.15	0.62				D_CAF	oral	230.0	mg	caffeine	h	0.0							Harder1988	518	S1	homo sapiens	12	Y	12.0	12.0		40.0			20.0			yr		M	12																								N	12		12																																																																																																																																							
