study	pk	interventions	tissue	time_unit	time	substance_name	pktype	unit	figure	auc_end	group_pk	mean	kel	se	individual_pk	value	sd	cv	median	max	min
Firth1986	2148	787	plasma	min	[-30.0, -20.0, -10.0, 0.0, 15.0, 30.0, 45.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0, 360.0, 420.0]	glucose	concentration	mg/dl	/media/data/Firth1986_Fig1.png	47418.625	595.0	[98.77, 96.18, 94.82, 94.68, 112.74, 136.88, 137.89, 134.01, 134.8, 131.92, 106.67, 97.29, 84.23, 87.0, 83.72]	0.0015419074326257181	[7.31, 7.29, 9.72, 9.75, 8.55, 9.77, 8.54, 9.76, 8.51, 8.53, 12.21, 14.63, 15.83, 15.83, 13.41]							
Benowitz1995	1659	609	plasma	h	[0.0, 30.0, 40.0, 60.0, 75.0, 90.0, 120.0, 180.0]	paraxanthine	concentration	mg/l	/media/data/Benowitz1995_Fig1.png	135.125	485.0	[0.0, 0.3, 0.49, 0.56, 0.7, 0.81, 0.99, 1.29]		[0.0, 0.0134164078649987, 0.00894427190999916, 0.0581377674149945, 0.084970583144992, 0.0939148550549912, 0.129691942694988, 0.192301846064982]			[0.0, 0.03, 0.02, 0.13, 0.19, 0.21, 0.29, 0.43]	[None, 0.1, 0.0408163265306122, 0.232142857142857, 0.271428571428571, 0.259259259259259, 0.292929292929293, 0.333333333333333]			
Benowitz1995	1661	609	plasma	h	[0.0, 30.0, 40.0, 60.0, 75.0, 90.0, 120.0, 180.0]	paraxanthine/caffeine	ratio	-	/media/data/Benowitz1995_Fig1.png		485.0	[None, 0.1, 0.18, 0.21, 0.21, 0.26, 0.34, 0.5]	-0.00922667240043783	[None, 0.0178885438199983, 0.0223606797749979, 0.0357770876399966, 0.0313049516849971, 0.0357770876399966, 0.053665631459995, 0.084970583144992]			[None, 0.04, 0.05, 0.08, 0.07, 0.08, 0.12, 0.19]	[None, 0.4, 0.277777777777778, 0.380952380952381, 0.333333333333333, 0.307692307692308, 0.352941176470588, 0.38]			
Benowitz1995	1663	610	plasma	h	[0.0, 30.0, 40.0, 60.0, 75.0, 90.0, 120.0, 180.0]	caffeine	concentration	mg/l	/media/data/Benowitz1995_Fig1.png	1109.6750000000002	486.0	[0.0, 6.73, 7.1, 7.26, 7.48, 6.91, 6.65, 5.82]	0.0019523668977841555	[0.0, 0.241897262725905, 0.143626499743506, 0.13228756555323, 0.151185789203691, 0.181422947044429, 0.143626499743506, 0.234337973265721]			[0.0, 0.64, 0.38, 0.35, 0.4, 0.48, 0.38, 0.62]	[None, 0.0950965824665676, 0.0535211267605634, 0.0482093663911846, 0.053475935828877, 0.0694645441389291, 0.0571428571428571, 0.106529209621993]			
Benowitz1995	1665	610	plasma	h	[0.0, 30.0, 40.0, 60.0, 75.0, 90.0, 120.0, 180.0]	paraxanthine	concentration	mg/l	/media/data/Benowitz1995_Fig1.png	142.0	486.0	[0.0, 0.41, 0.49, 0.54, 0.78, 0.96, 1.0, 1.29]		[0.0, 0.041576092031015, 0.0226778683805536, 0.0529150262212918, 0.041576092031015, 0.041576092031015, 0.109609697172676, 0.13228756555323]			[0.0, 0.11, 0.06, 0.14, 0.11, 0.11, 0.29, 0.35]	[None, 0.268292682926829, 0.122448979591837, 0.259259259259259, 0.141025641025641, 0.114583333333333, 0.29, 0.271317829457364]			
Magnusson2008	1760	736	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.2059000172393451		1970.0	[0.31, 2.69, 2.28, 1.93, None, 1.39, 0.61]					
Magnusson2008	1760	737	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.2059000172393451		1970.0	[0.31, 2.69, 2.28, 1.93, None, 1.39, 0.61]					
Magnusson2008	1760	738	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.2059000172393451		1970.0	[0.31, 2.69, 2.28, 1.93, None, 1.39, 0.61]					
Magnusson2008	1761	736	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png						1971.0	[None, 1.3, 2.07, 1.75, None, 1.39, 0.73]					
Magnusson2008	1761	737	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png						1971.0	[None, 1.3, 2.07, 1.75, None, 1.39, 0.73]					
Magnusson2008	1761	738	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png						1971.0	[None, 1.3, 2.07, 1.75, None, 1.39, 0.73]					
Magnusson2008	1762	736	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.09487240542622594		1972.0	[0.08, 0.87, 1.25, 1.51, None, 1.33, 0.91]					
Magnusson2008	1762	737	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.09487240542622594		1972.0	[0.08, 0.87, 1.25, 1.51, None, 1.33, 0.91]					
Magnusson2008	1762	738	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	caffeine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.09487240542622594		1972.0	[0.08, 0.87, 1.25, 1.51, None, 1.33, 0.91]					
Ammon2002	1828	754	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	codeine	concentration	pmol/ml	/media/data/Ammon2002_Fig2.png	2573.3235	554.0	[0.0, 337.3, 544.86, 567.57, 596.76, 467.03, 392.43, 324.32, 278.92, 223.78, 110.27, 74.59, 51.89, 38.92, 9.73, 3.24]	0.14360315514451352	[None, 86.1348866604003, 76.7731520454905, 30.8968996556828, 43.0674433302001, 30.8968996556828, 24.3410873490346, 25.2792815364678, 21.5322782894271, 16.8528543576452, 8.42642717882259, 6.55292555530225, None, None, None, None]			[None, 298.38, 265.95, 107.03, 149.19, 107.03, 84.32, 87.57, 74.59, 58.38, 29.19, 22.7, None, None, None, None]	[None, 0.884613104061666, 0.48810703666997, 0.188575858484416, 0.25, 0.229171573560585, 0.214866345590296, 0.270011100148002, 0.267424351068407, 0.260881222629368, 0.264713884102657, 0.304330339187559, None, None, None, None]			
Ammon2002	1828	756	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	codeine	concentration	pmol/ml	/media/data/Ammon2002_Fig2.png	2573.3235	554.0	[0.0, 337.3, 544.86, 567.57, 596.76, 467.03, 392.43, 324.32, 278.92, 223.78, 110.27, 74.59, 51.89, 38.92, 9.73, 3.24]	0.14360315514451352	[None, 86.1348866604003, 76.7731520454905, 30.8968996556828, 43.0674433302001, 30.8968996556828, 24.3410873490346, 25.2792815364678, 21.5322782894271, 16.8528543576452, 8.42642717882259, 6.55292555530225, None, None, None, None]			[None, 298.38, 265.95, 107.03, 149.19, 107.03, 84.32, 87.57, 74.59, 58.38, 29.19, 22.7, None, None, None, None]	[None, 0.884613104061666, 0.48810703666997, 0.188575858484416, 0.25, 0.229171573560585, 0.214866345590296, 0.270011100148002, 0.267424351068407, 0.260881222629368, 0.264713884102657, 0.304330339187559, None, None, None, None]			
Ammon2002	1830	754	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	codeine	concentration	pmol/ml	/media/data/Ammon2002_Fig2.png	2861.0705	554.0	[12.97, 334.05, 632.43, 600.0, 645.41, 473.51, 395.68, 337.3, 291.89, 240.0, 136.22, 77.84, 51.89, 38.92, 16.22, 12.97]	0.10842040736990954	[None, 73.0261487984498, 110.475974009435, 44.9409449537205, 44.9409449537205, 33.7057087152904, 20.5969708533399, 22.4704724768602, 17.7881617937324, 15.917546921558, 7.49111974273539, 8.42642717882259, None, None, None, None]			[None, 252.97, 382.7, 155.68, 155.68, 116.76, 71.35, 77.84, 61.62, 55.14, 25.95, 29.19, None, None, None, None]	[None, 0.757281844035324, 0.60512625903262, 0.259466666666667, 0.241211013154429, 0.24658402145678, 0.180322482814395, 0.230773791876668, 0.211106923841173, 0.22975, 0.190500660695933, 0.375, None, None, None, None]			
Ammon2002	1830	755	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	codeine	concentration	pmol/ml	/media/data/Ammon2002_Fig2.png	2861.0705	554.0	[12.97, 334.05, 632.43, 600.0, 645.41, 473.51, 395.68, 337.3, 291.89, 240.0, 136.22, 77.84, 51.89, 38.92, 16.22, 12.97]	0.10842040736990954	[None, 73.0261487984498, 110.475974009435, 44.9409449537205, 44.9409449537205, 33.7057087152904, 20.5969708533399, 22.4704724768602, 17.7881617937324, 15.917546921558, 7.49111974273539, 8.42642717882259, None, None, None, None]			[None, 252.97, 382.7, 155.68, 155.68, 116.76, 71.35, 77.84, 61.62, 55.14, 25.95, 29.19, None, None, None, None]	[None, 0.757281844035324, 0.60512625903262, 0.259466666666667, 0.241211013154429, 0.24658402145678, 0.180322482814395, 0.230773791876668, 0.211106923841173, 0.22975, 0.190500660695933, 0.375, None, None, None, None]			
Ammon2002	1832	754	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	codeine-6-glucuronide	concentration	pmol/ml	/media/data/Ammon2002_Fig2.png	30955.686000000005	554.0	[0.1, 800.16, 2893.71, 4188.44, 4988.49, 4971.83, 4460.8, 3892.3, 3533.34, 2872.39, 1892.69, 1236.47, 827.53, 551.64, 121.32, 71.23]	0.13051585918823833	[None, 208.665934290515, 417.300114316224, 329.470704615752, 285.511255119654, 258.084230581801, 225.1694917353, 208.665934290515, 186.671775785736, 148.292416641355, 109.823568205251, 65.9824755143364, 43.8988277178332, 32.9753606247655, None, None]			[None, 722.84, 1445.57, 1141.32, 989.04, 894.03, 780.01, 722.84, 646.65, 513.7, 380.44, 228.57, 152.07, 114.23, None, None]	[None, 0.903369326134773, 0.499555933386552, 0.27249286130397, 0.198264404659526, 0.179819100813986, 0.174858769727403, 0.185710248439226, 0.183013805634329, 0.178840617047128, 0.201004918924916, 0.184856890988055, 0.183763730620038, 0.20707345370169, None, None]			
Ammon2002	1832	756	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	codeine-6-glucuronide	concentration	pmol/ml	/media/data/Ammon2002_Fig2.png	30955.686000000005	554.0	[0.1, 800.16, 2893.71, 4188.44, 4988.49, 4971.83, 4460.8, 3892.3, 3533.34, 2872.39, 1892.69, 1236.47, 827.53, 551.64, 121.32, 71.23]	0.13051585918823833	[None, 208.665934290515, 417.300114316224, 329.470704615752, 285.511255119654, 258.084230581801, 225.1694917353, 208.665934290515, 186.671775785736, 148.292416641355, 109.823568205251, 65.9824755143364, 43.8988277178332, 32.9753606247655, None, None]			[None, 722.84, 1445.57, 1141.32, 989.04, 894.03, 780.01, 722.84, 646.65, 513.7, 380.44, 228.57, 152.07, 114.23, None, None]	[None, 0.903369326134773, 0.499555933386552, 0.27249286130397, 0.198264404659526, 0.179819100813986, 0.174858769727403, 0.185710248439226, 0.183013805634329, 0.178840617047128, 0.201004918924916, 0.184856890988055, 0.183763730620038, 0.20707345370169, None, None]			
Ammon2002	1834	754	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	codeine-6-glucuronide	concentration	pmol/ml	/media/data/Ammon2002_Fig2.png	33214.380135	554.0	[0.0, 914.3912, 3179.243, 4740.2803, 5273.718, 4990.953, 4460.903, 4063.4932, 3666.2888, 2910.4373, 2101.8303, 1331.5754, 922.6363, 627.5213, 140.44135, 90.45722]	0.12425977217260387	[None, 203.143578965716, 494.116567631903, 450.188872400611, 291.062477957912, 181.178287974396, 203.085843938797, 186.758378326114, 153.901374506533, 164.764219821335, 87.8900314787367, 87.8582772139313, 54.8511623243604, 27.545381343037, None, None]			[None, 703.71, 1711.67, 1559.5, 1008.27, 627.62, 703.51, 646.95, 533.13, 570.76, 304.46, 304.35, 190.01, 95.42, None, None]	[None, 0.769594020589874, 0.538389170000532, 0.328988984048053, 0.191187697180623, 0.125751534827116, 0.157705738053484, 0.159210307033367, 0.145414076490646, 0.196107986933785, 0.144854701162125, 0.228563850008043, 0.205942471589293, 0.152058583509436, None, None]			
Ammon2002	1834	755	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	codeine-6-glucuronide	concentration	pmol/ml	/media/data/Ammon2002_Fig2.png	33214.380135	554.0	[0.0, 914.3912, 3179.243, 4740.2803, 5273.718, 4990.953, 4460.903, 4063.4932, 3666.2888, 2910.4373, 2101.8303, 1331.5754, 922.6363, 627.5213, 140.44135, 90.45722]	0.12425977217260387	[None, 203.143578965716, 494.116567631903, 450.188872400611, 291.062477957912, 181.178287974396, 203.085843938797, 186.758378326114, 153.901374506533, 164.764219821335, 87.8900314787367, 87.8582772139313, 54.8511623243604, 27.545381343037, None, None]			[None, 703.71, 1711.67, 1559.5, 1008.27, 627.62, 703.51, 646.95, 533.13, 570.76, 304.46, 304.35, 190.01, 95.42, None, None]	[None, 0.769594020589874, 0.538389170000532, 0.328988984048053, 0.191187697180623, 0.125751534827116, 0.157705738053484, 0.159210307033367, 0.145414076490646, 0.196107986933785, 0.144854701162125, 0.228563850008043, 0.205942471589293, 0.152058583509436, None, None]			
Loetsch2006	1949	771	plasma	h	[0.05, 0.1, 0.25, 0.64, 1.15, 1.67, 2.14, 2.59, 3.12, 3.6, 4.26, 4.58, 5.14]	normorphine	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	805.7355			0.14379092323093515		2076.0	[11.7, 54.9, 184.1, 206.2, 202.7, 197.4, 159.1, 172.1, 132.9, 135.8, 133.3, 130.7, 108.9]					
Loetsch2006	1950	771	plasma	h	[0.0, 0.1, 0.2, 0.6, 1.2, 1.6, 2.0, 2.5, 3.0, 3.5, 3.9, 4.5, 5.1]	normorphine	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	370.05499999999995			0.12372134682720806		2077.0	[17.4, 28.7, 51.3, 71.4, 65.3, 64.3, 63.2, 70.9, 71.1, 93.8, 87.7, 85.4, 75.6]					
Loetsch2006	1951	771	plasma	h	[0.0, 0.2, 0.4, 0.5, 0.8, 1.2, 1.7, 2.2, 2.6, 3.0, 3.5, 4.0, 4.5, 4.8]	normorphine	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png						2078.0	[None, None, 23.9, 37.5, 46.2, 73.3, 83.3, 85.8, 79.8, 70.0, 87.4, 74.0, 71.6, 68.2]					
Loetsch2006	1952	771	plasma	h	[0.4, 0.5, 0.8, 1.2, 1.6, 2.0, 2.4, 2.9, 3.3, 3.8, 4.3, 4.6, 5.0]	normorphine	concentration	nmol/ml	/media/data/Loetsch2006_Fig2.png	162.29			0.09853795528460059		2079.0	[0.9, 3.2, 13.9, 32.8, 45.7, 50.4, 42.0, 38.3, 34.6, 40.5, 40.4, 31.9, 29.5]					
Calbet2002	2070	777	plasma	min	[0.0, 20.0, 40.0, 60.0, 80.0, 100.0, 120.0, 140.0, 160.0, 180.0]	glucose	concentration	mmol/l	/media/data/Calbet2002_Fig1.png	873.5	580.0	[4.92, 6.5, 4.96, 4.5, 4.57, 4.66, 4.63, 4.58, 4.56, 4.51]	0.0003568066530863761	[0.09, 0.25, 0.61, 0.4, 0.18, 0.14, 0.14, 0.16, 0.2, 0.13]							
Ammon2002	1836	754	serum	h	[0.1, 0.3, 0.5, 0.8, 1.0, 1.5, 2.0, 2.5, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 24.0, 36.0]	morphine	concentration	pmol/ml	/media/data/Ammon2002_Fig3.png	82.27999999999999	554.0	[0.3, 12.77, 18.18, 16.82, 15.01, 10.49, 8.52, 7.01, 6.09, 5.01, 2.71, 2.06, 1.56, 1.66, 1.17, 0.38]	0.09634377173417623	[None, 3.55936440955404, 4.73138545600898, 3.51606313936482, 2.7770547948021, 1.78112558045, 1.56173247815794, 1.47512993777949, 1.21532231664416, 1.0854185060765, 0.565803263805833, 0.389711431702997, None, None, None, None]			[None, 12.33, 16.39, 12.18, 9.62, 6.17, 5.41, 5.11, 4.21, 3.76, 1.96, 1.35, None, None, None, None]	[None, 0.965544244322631, 0.901540154015402, 0.724137931034483, 0.640906062624917, 0.588179218303146, 0.634976525821596, 0.728958630527818, 0.691297208538588, 0.750499001996008, 0.723247232472325, 0.655339805825243, None, None, None, None]			
