study	intervention	category	intervention_details
Harder1988	CIP1	CIP1	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	control_CIP2	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	CIP2	CIP2	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	control_CIP3	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	CIP3	CIP3	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	control_ENX1	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	ENX1	ENX1	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	control_ENX2	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	ENX2	ENX2	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	control_ENX3	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1988	ENX3	ENX3	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_OFL	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	OFL	OFL	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_NOR	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	NOR	NOR	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_PPA	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	PPA	PPA	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_CIP1	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	CIP1	CIP1	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_CIP2	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	CIP2	CIP2	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_CIP3	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	CIP3	CIP3	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_ENX1	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	ENX1	ENX1	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_ENX2	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	ENX2	ENX2	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	control_ENX3	control	Effect of 4-Quinolones on caffeine biotransformation
Harder1989	ENX3	ENX3	Effect of 4-Quinolones on caffeine biotransformation
Healy1989	control	control	Interaction between oral ciprofloxacin and caffeine in normal volunteers
Healy1989	ciprofloxacin	control	Interaction between oral ciprofloxacin and caffeine in normal volunteers
Seng2009	control	control	caffeine in healthy male under different dosages
Seng2009	CNS	control	caffeine in healthy male under different dosages
Seng2009	CS	smoking	caffeine in healthy male under different dosages

