study	dosing	substance	route	application	form	dose	dose_unit	dose_bodyweight	times	times_unit	dosing_details
ZylberKatz1984	D2	caffeine	oral	single dose		310	mg	no	0	h	After abstaining from caffeine-containing beverages and chocolate for 16 h and from food for at least 4 h, subjects were requested to drink 2 cups of black coffee at 4pm. Volume drank was measured and caffeine content determined.
ZylberKatz1984	D3	caffeine	oral	single dose		260	mg	no	0	h	After abstaining from caffeine-containing beverages and chocolate for 16 h and from food for at least 4 h, subjects were requested to drink 2 cups of black coffee at 4pm. Volume drank was measured and caffeine content determined.
Ghassabian2009	D1	caffeine	oral	single dose		100	mg	no	0	h	After informed consent was obtained, subjects abstained from caffeine-containing products for 48 hours before and during the period of the study. Subjects were provided with caffeinefree beverages during this period. Each study participant received the combination of 100 mg caffeine, 20 mg omeprazole, 25 mg losartan, 30 mg dextromethorphan (as an oral liquid), and an oral dose of 2 mg midazolam (in 5% dextrose solution). Venous blood samples (10 mL) were collected before administration of the cocktail and at 1-, 2-, 4-, and 6-hour postadministration.
Granfors2005	D1	caffeine	oral	single dose		100	mg	no	0	h	An oral caffeine test was performed on the day before the tizanidine study day. The subjects ingested 100 mg caffeine (one 100-mg Cofi-Tabs tablet; Vitabalans, Hämeenlinna, Finland) at 9 AM, after having abstained from caffeine intake for at least 12 hours, and a blood sample for analysis of plasma caffeine and paraxanthine (1,7-dimethylxanthine) concentrations was taken 6 hours after caffeine intake.
Haller2002	D1	caffeine	oral	single dose	2 capsules	175	mg	no	0	h	Subjects were asked to abstain from caffeine consumption for 24 hours before the study. After an overnight fast, subjects were admitted to the General Clinical Research Center at San Francisco General Hospital and given 2 capsules of Metabolift Thermogenic Diet Formula (a weight loss aid manufactured by Twin Laboratories Inc, Ronkonkoma, NY) with water at 8 AM. Subjects continued to fast for an additional 2 hours but were allowed water, and then they were given caffeine-free meals.  Analysis of 2 capsules of Metabolift (labeled to contain 10 mg ephedra alkaloids from ma huang extract, 100 mg caffeine from guarana seed extract, 50 mg L-carnitine, and 100 g chromium picolinate per capsule) revealed an average of 8.65 mg ephedrine, 2.64 mg pseudoephedrine, 0.21 mg norpseudoephedrine, 0.25 mg methylephedrine, and 0.10 mg norephedrine, with a total ephedrine alkaloid content of 11.85 mg per capsule (119% of declared amount). Ephedrine alkaloid concentrations of the 2 analyzed capsules were nearly identical. The average caffeine content was 87.5 mg per capsule (87.5% of declared amount). No significant amount of theophylline or theobromine was detected. Therefore the standard oral dose of 2 capsules given in this study consisted of a total of 23.7 mg ephedrine alkaloids that consisted of 17.3 mg ephedrine, 5.3 mg pseudoephedrine, and insignificant amounts of the other alkaloids. This quantity of ephedrine is comparable to typical amounts contained in drug decongestant formulations. The total oral dose of caffeine was 175 mg.
Healy1991	D1	caffeine	oral	single dose	2 100mg NO-DOZ tablets	200	mg	no	0	h	After an overnight fast, subjects randomly received a single daily dose of either lomefloxacin (400 mg; two 200-mg capsules; lot 8568RCT, G. D. Searle & Co., Skokie, Ill.) or identicalappearing placebo capsules for 5 consecutive days. Caffeine (200 mg; two 100-mg NO-DOZ tablets; lot ND9Y1B; Bristol- Myers Co., New York, N.Y.) was simultaneously administered with the last three doses of each lomefloxacin or placebo treatment. After a 2-day washout period, subjects were begun on the alternate 5-day regimen with caffeine, which was again administered on the final 3 days. Subjects ingested lomefloxacin, placebo, and caffeine doses with 180 ml of distilled water. Following administration of the final dose of each regimen, subjects were required to continue fasting for 4 h.
Harder1988	D_CAF	caffeine	oral	single dose		230	mg	no	0	h	Caffeine and paraxanthine concentrations in plasma were simultaneously determined after a single oral dose of 230 mg caffeine in a liquid preparation. Blood samples were collected 0.5, 1, 2, 4, 6, 10, 14, 20 and 24 h after the administration of caffeine.
Harder1988	D_OFL	ofloxacin	oral	multiple doses		200	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1988	D_NOR	norfloxacin	oral	multiple doses		400	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1988	D_PPA	pipemidic acid	oral	multiple doses		400	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1988	D_CIP1	ciprofloxacin	oral	multiple doses		100	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1988	D_CIP2	ciprofloxacin	oral	multiple doses		250	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1988	D_CIP3	ciprofloxacin	oral	multiple doses		500	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1988	D_ENX1	enoxacin	oral	multiple doses		100	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1988	D_ENX2	enoxacin	oral	multiple doses		200	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1988	D_ENX3	enoxacin	oral	multiple doses		400	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_CAF	caffeine	oral	single dose		230	mg	no	0	h	Caffeine and paraxanthine concentrations in plasma were simultaneously determined after a single oral dose of 230 mg caffeine in a liquid preparation. Blood samples were collected 0.5, 1, 2, 4, 6, 10, 14, 20 and 24 h after the administration of caffeine.
Harder1989	D_OFL	ofloxacin	oral	multiple doses		200	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_NOR	norfloxacin	oral	multiple doses		400	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_PPA	pipemidic acid	oral	multiple doses		400	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_CIP1	ciprofloxacin	oral	multiple doses		100	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_CIP2	ciprofloxacin	oral	multiple doses		250	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_CIP3	ciprofloxacin	oral	multiple doses		500	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_ENX1	enoxacin	oral	multiple doses		100	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_ENX2	enoxacin	oral	multiple doses		200	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Harder1989	D_ENX3	enoxacin	oral	multiple doses		400	mg	no	0|24|48|72	h	Quinolones were given after completion of the caffeine-alone phase. All subjects received quinolones b.d. for 3 days. On the fourth day a last single dose of the quinolone was. given together with a second dose of caffeine, followed by a further 24-h blood sampling period.
Healy1989	D_CAF	caffeine	oral	single dose		100	mg	no	0	h	"Ten xanthine-free, fasting males were given 100 mg of caffeine orally 24 h before being given ciprofloxacin and again with the third dose of ciprofloxacin (750 mg administered every 12 h). On the morning
of study day 1, subjects received 100 mg of caffeine (No-Doz tablet, lot 6F114; Bristol-Myers Co., New York, N.Y.) with 180 ml of water. Blood samples were collected before drug administration and at 0.25, 0.5, 1, 1.5, 2, 4, 6, 8, 10, 12, 16, and 24 h after dosing. Twenty-four hours after caffeine dose 1 and following an overnight fast, subjects were started on oral ciprofloxacin (Cipro, lot MK-13-69; Miles Laboratories, Inc., West Haven, Conn.) at a dosage of one 750-mg tablet every 12 h, for a total of three doses. Each dose was administered with 180 ml of water. Serial blood samples were collected over the first dosing interval at 0, 0.25, 0.5, 1, 1.5, 2, 4, 6, 8, 10, and 12 h following ciprofioxacin administration. A second 100-mg dose of caffeine was given simultaneously with the last dose of ciprofloxacin, and blood for measurement of caffeine, paraxanthine, and ciprofloxacin concentrations was obtained over the ensuing 24 h as described above."
Healy1989	D_CIP	ciprofloxacin	oral	single dose	capsules	750	mg	no	24|36|48	h	"Ten xanthine-free, fasting males were given 100 mg of caffeine orally 24 h before being given ciprofloxacin and again with the third dose of ciprofloxacin (750 mg administered every 12 h). On the morning
of study day 1, subjects received 100 mg of caffeine (No-Doz tablet, lot 6F114; Bristol-Myers Co., New York, N.Y.) with 180 ml of water. Blood samples were collected before drug administration and at 0.25, 0.5, 1, 1.5, 2, 4, 6, 8, 10, 12, 16, and 24 h after dosing. Twenty-four hours after caffeine dose 1 and following an overnight fast, subjects were started on oral ciprofloxacin (Cipro, lot MK-13-69; Miles Laboratories, Inc., West Haven, Conn.) at a dosage of one 750-mg tablet every 12 h, for a total of three doses. Each dose was administered with 180 ml of water. Serial blood samples were collected over the first dosing interval at 0, 0.25, 0.5, 1, 1.5, 2, 4, 6, 8, 10, and 12 h following ciprofioxacin administration. A second 100-mg dose of caffeine was given simultaneously with the last dose of ciprofloxacin, and blood for measurement of caffeine, paraxanthine, and ciprofloxacin concentrations was obtained over the ensuing 24 h as described above."
Seng2009	D_CAF3	caffeine	oral	single dose	capsules	3	mg/kg	yes	0	h	Caffeine was given orally in the form of anhydrous caffeine capsules (Union Chemical and Pharmaceutical Pte Ltd, Singapore); the capsules were available in 5, 10, 20, 50, 200, 250, 300 and 400 mg. The actual dosages that were administered to the participants for 3 and 5 mg ⁄ kg regimens were 205 ± 47 and 342 ± 79 mg respectively. Dosage administration was observed and recorded for each Participant. All participants were orally dosed with, first, 3 mg ⁄ kg body weight of caffeine and then 5 mg⁄ kg body weight of caffeine. The two separate clinical trials – which constituted two different occasions – for each participant was separated by a washout period of no less than 7 days. Consumption of alcohol and caffeine-containing products was prohibited 96 h before and during each clinical Trial.
Seng2009	D_CAF5	caffeine	oral	single dose	capsules	5	mg/kg	yes	0	h	Caffeine was given orally in the form of anhydrous caffeine capsules (Union Chemical and Pharmaceutical Pte Ltd, Singapore); the capsules were available in 5, 10, 20, 50, 200, 250, 300 and 400 mg. The actual dosages that were administered to the participants for 3 and 5 mg ⁄ kg regimens were 205 ± 47 and 342 ± 79 mg respectively. Dosage administration was observed and recorded for each Participant. All participants were orally dosed with, first, 3 mg ⁄ kg body weight of caffeine and then 5 mg⁄ kg body weight of caffeine. The two separate clinical trials – which constituted two different occasions – for each participant was separated by a washout period of no less than 7 days. Consumption of alcohol and caffeine-containing products was prohibited 96 h before and during each clinical Trial.
Kaplan1997	D_CAF250	caffeine	oral	single dose	capsules		mg	no		h	The study had a double-blind, single-dose, threeway crossover design. Medications were identically packaged in opaque capsules and administered orally, with at least 1 week elapsing between trials. The three treatment conditions were: 1) caffeine, 250 mg; 2) caffeine, 500 mg; and 3) placebo.
Kaplan1997	D_CAF500	caffeine	oral	single dose	capsules		mg	no		h	The study had a double-blind, single-dose, threeway crossover design. Medications were identically packaged in opaque capsules and administered orally, with at least 1 week elapsing between trials. The three treatment conditions were: 1) caffeine, 250 mg; 2) caffeine, 500 mg; and 3) placebo.
