study	pk	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	cv	sd	time_unit	time	max	min	median
Abernethy1985	4079	thalf	h	plasma	208	caffeine	404.0	9.98e+00										
Abernethy1985	4078	thalf	h	plasma	208	caffeine	403.0	9.37e+00										
Abernethy1985	4077	thalf	h	plasma	208	caffeine	402.0	9.01e+00										
Abernethy1985	4076	thalf	h	plasma	208	caffeine	401.0	8.14e+00										
Abernethy1985	4075	thalf	h	plasma	208	caffeine	400.0	8.04e+00										
Abernethy1985	4074	thalf	h	plasma	208	caffeine	399.0	7.61e+00										
Abernethy1985	4073	thalf	h	plasma	208	caffeine	398.0	7.07e+00										
Abernethy1985	4072	thalf	h	plasma	208	caffeine	397.0	6.20e+00										
Abernethy1985	4071	thalf	h	plasma	208	caffeine	396.0	5.42e+00										
Abernethy1985	4134	cmax	µg/ml	plasma	208	caffeine			90.0	3.99e+00	2.70e-01	2.03e-01						
Abernethy1985	4133	tmax	h	plasma	208	caffeine			90.0	1.52e+00	2.60e-01	5.13e-01						
Abernethy1985	4132	thalf	h	plasma	208	caffeine			90.0	7.88e+00	4.90e-01	1.87e-01						
Abernethy1985	4131	vd	l/kg	plasma	208	caffeine			90.0	6.90e-01	3.00e-02	1.30e-01						
Abernethy1985	4130	clearance	l/h/kg	plasma	208	caffeine			90.0	6.30e-02	6.00e-03	2.86e-01						
Abernethy1985	4144	cmax	µg/ml	plasma	208	caffeine			91.0	4.09e+00	2.40e-01	1.76e-01						
Abernethy1985	4143	tmax	h	plasma	208	caffeine			91.0	7.90e-01	1.10e-01	4.18e-01						
Abernethy1985	4142	thalf	h	plasma	208	caffeine			91.0	5.37e+00	6.20e-01	3.46e-01						
Abernethy1985	4141	vd	l/kg	plasma	208	caffeine			91.0	7.50e-01	7.00e-02	2.80e-01						
Abernethy1985	4140	clearance	l/h/kg	plasma	208	caffeine			91.0	1.05e-01	1.20e-02	3.43e-01						
Beach1986	5845	clearance	l/h	plasma	234	caffeine	614.0	6.72e+00										
Beach1986	5846	clearance	l/h	plasma	234	caffeine	615.0	4.02e+00										
Beach1986	5847	clearance	l/h	plasma	234	caffeine	616.0	1.30e+01										
Beach1986	5848	clearance	l/h	plasma	234	caffeine	617.0	1.00e+01										
Beach1986	5849	clearance	l/h	plasma	234	caffeine	618.0	8.70e+00										
Beach1986	5850	clearance	l/h	plasma	234	caffeine	619.0	1.03e+01										
Beach1986	5851	clearance	l/h	plasma	234	caffeine	620.0	8.22e+00										
Beach1986	5852	clearance	l/h	plasma	234	caffeine	621.0	8.46e+00										
Beach1986	5853	clearance	l/h	plasma	234	caffeine	622.0	1.08e+01										
Beach1986	5854	clearance	l/h	plasma	234	caffeine	623.0	1.04e+01										
Beach1986	5865	clearance	l/h	plasma	234	caffeine	624.0	2.20e+01										
Beach1986	5866	clearance	l/h	plasma	234	caffeine	625.0	1.70e+01										
Beach1986	5867	clearance	l/h	plasma	234	caffeine	626.0	2.08e+01										
Beach1986	5868	clearance	l/h	plasma	234	caffeine	627.0	1.55e+01										
Beach1986	5869	clearance	l/h	plasma	234	caffeine	628.0	2.25e+01										
Beach1986	5870	clearance	l/h	plasma	234	caffeine	629.0	2.43e+01										
Beach1986	5871	clearance	l/h	plasma	234	caffeine	630.0	1.91e+01										
Beach1986	5872	clearance	l/h	plasma	234	caffeine	631.0	2.22e+01										
Beach1986	5873	clearance	l/h	plasma	234	caffeine	632.0	1.99e+01										
Beach1986	5874	clearance	l/h	plasma	234	caffeine	633.0	2.22e+01										
Beach1986	5875	clearance	l/h	plasma	234	caffeine	634.0	1.46e+01										
Beach1986	5887	thalf	h	plasma	234	caffeine	614.0	5.00e+00										
Beach1986	5888	thalf	h	plasma	234	caffeine	615.0	6.70e+00										
Beach1986	5889	thalf	h	plasma	234	caffeine	616.0	3.00e+00										
Beach1986	5890	thalf	h	plasma	234	caffeine	617.0	3.70e+00										
Beach1986	5891	thalf	h	plasma	234	caffeine	618.0	3.80e+00										
Beach1986	5892	thalf	h	plasma	234	caffeine	619.0	4.20e+00										
Beach1986	5893	thalf	h	plasma	234	caffeine	620.0	4.70e+00										
Beach1986	5894	thalf	h	plasma	234	caffeine	621.0	4.30e+00										
Beach1986	5895	thalf	h	plasma	234	caffeine	622.0	3.60e+00										
Beach1986	5896	thalf	h	plasma	234	caffeine	623.0	4.00e+00										
Beach1986	5907	thalf	h	plasma	234	caffeine	624.0	2.60e+00										
Beach1986	5908	thalf	h	plasma	234	caffeine	625.0	2.80e+00										
Beach1986	5909	thalf	h	plasma	234	caffeine	626.0	2.00e+00										
Beach1986	5910	thalf	h	plasma	234	caffeine	627.0	2.40e+00										
Beach1986	5911	thalf	h	plasma	234	caffeine	628.0	1.90e+00										
Beach1986	5912	thalf	h	plasma	234	caffeine	629.0	2.10e+00										
Beach1986	5913	thalf	h	plasma	234	caffeine	630.0	2.00e+00										
Beach1986	5914	thalf	h	plasma	234	caffeine	631.0	1.50e+00										
Beach1986	5915	thalf	h	plasma	234	caffeine	632.0	2.20e+00										
Beach1986	5916	thalf	h	plasma	234	caffeine	633.0	1.70e+00										
Beach1986	5917	thalf	h	plasma	234	caffeine	634.0	2.90e+00										
Beach1986	5929	vd	l	plasma	234	caffeine	614.0	4.89e+01										
Beach1986	5930	vd	l	plasma	234	caffeine	615.0	3.86e+01										
Beach1986	5931	vd	l	plasma	234	caffeine	616.0	5.56e+01										
Beach1986	5932	vd	l	plasma	234	caffeine	617.0	5.30e+01										
Beach1986	5933	vd	l	plasma	234	caffeine	618.0	4.78e+01										
Beach1986	5934	vd	l	plasma	234	caffeine	619.0	6.22e+01										
Beach1986	5935	vd	l	plasma	234	caffeine	620.0	5.04e+01										
Beach1986	5936	vd	l	plasma	234	caffeine	621.0	5.28e+01										
Beach1986	5937	vd	l	plasma	234	caffeine	622.0	5.65e+01										
Beach1986	5938	vd	l	plasma	234	caffeine	623.0	5.93e+01										
Beach1986	5949	vd	l	plasma	234	caffeine	624.0	9.52e+01										
Beach1986	5950	vd	l	plasma	234	caffeine	625.0	6.84e+01										
Beach1986	5951	vd	l	plasma	234	caffeine	626.0	5.90e+01										
Beach1986	5952	vd	l	plasma	234	caffeine	627.0	5.41e+01										
Beach1986	5953	vd	l	plasma	234	caffeine	628.0	6.52e+01										
Beach1986	5954	vd	l	plasma	234	caffeine	629.0	7.58e+01										
Beach1986	5955	vd	l	plasma	234	caffeine	630.0	5.40e+01										
Beach1986	5956	vd	l	plasma	234	caffeine	631.0	4.93e+01										
Beach1986	5957	vd	l	plasma	234	caffeine	632.0	6.20e+01										
Beach1986	5958	vd	l	plasma	234	caffeine	633.0	5.37e+01										
Beach1986	5959	vd	l	plasma	234	caffeine	634.0	6.02e+01										
Beach1986	5971	cmax	µg/ml	plasma	234	caffeine	614.0	2.90e+00										
Beach1986	5972	cmax	µg/ml	plasma	234	caffeine	615.0	3.90e+00										
Beach1986	5973	cmax	µg/ml	plasma	234	caffeine	616.0	4.30e+00										
Beach1986	5974	cmax	µg/ml	plasma	234	caffeine	617.0	3.10e+00										
Beach1986	5975	cmax	µg/ml	plasma	234	caffeine	618.0	3.20e+00										
Beach1986	5976	cmax	µg/ml	plasma	234	caffeine	619.0	2.40e+00										
Beach1986	5977	cmax	µg/ml	plasma	234	caffeine	620.0	4.40e+00										
Beach1986	5978	cmax	µg/ml	plasma	234	caffeine	621.0	3.60e+00										
Beach1986	5979	cmax	µg/ml	plasma	234	caffeine	622.0	2.90e+00										
Beach1986	5980	cmax	µg/ml	plasma	234	caffeine	623.0	2.70e+00										
Beach1986	5991	cmax	µg/ml	plasma	234	caffeine	624.0	2.10e+00										
Beach1986	5992	cmax	µg/ml	plasma	234	caffeine	625.0	2.30e+00										
Beach1986	5993	cmax	µg/ml	plasma	234	caffeine	626.0	3.70e+00										
Beach1986	5994	cmax	µg/ml	plasma	234	caffeine	627.0	4.20e+00										
Beach1986	5995	cmax	µg/ml	plasma	234	caffeine	628.0	3.60e+00										
Beach1986	5996	cmax	µg/ml	plasma	234	caffeine	629.0	2.90e+00										
Beach1986	5997	cmax	µg/ml	plasma	234	caffeine	630.0	2.60e+00										
Beach1986	5998	cmax	µg/ml	plasma	234	caffeine	631.0	2.50e+00										
Beach1986	5999	cmax	µg/ml	plasma	234	caffeine	632.0	2.30e+00										
Beach1986	6000	cmax	µg/ml	plasma	234	caffeine	633.0	2.50e+00										
Beach1986	6001	cmax	µg/ml	plasma	234	caffeine	634.0	2.40e+00										
Beach1986	6013	tmax	h	plasma	234	caffeine	614.0	2.00e+00										
Beach1986	6014	tmax	h	plasma	234	caffeine	615.0	3.00e+00										
Beach1986	6015	tmax	h	plasma	234	caffeine	616.0	3.30e-01										
Beach1986	6016	tmax	h	plasma	234	caffeine	617.0	6.70e-01										
Beach1986	6017	tmax	h	plasma	234	caffeine	618.0	1.00e+00										
Beach1986	6018	tmax	h	plasma	234	caffeine	619.0	6.70e-01										
Beach1986	6019	tmax	h	plasma	234	caffeine	620.0	5.00e-01										
Beach1986	6020	tmax	h	plasma	234	caffeine	621.0	8.30e-01										
Beach1986	6021	tmax	h	plasma	234	caffeine	622.0	8.30e-01										
Beach1986	6022	tmax	h	plasma	234	caffeine	623.0	1.00e+00										
Beach1986	6033	tmax	h	plasma	234	caffeine	624.0	1.00e+00										
Beach1986	6034	tmax	h	plasma	234	caffeine	625.0	5.00e-01										
Beach1986	6035	tmax	h	plasma	234	caffeine	626.0	2.50e-01										
Beach1986	6036	tmax	h	plasma	234	caffeine	627.0	5.00e-01										
Beach1986	6037	tmax	h	plasma	234	caffeine	628.0	2.50e-01										
Beach1986	6038	tmax	h	plasma	234	caffeine	629.0	3.30e-01										
Beach1986	6039	tmax	h	plasma	234	caffeine	630.0	1.00e+00										
Beach1986	6040	tmax	h	plasma	234	caffeine	631.0	6.70e-01										
Beach1986	6041	tmax	h	plasma	234	caffeine	632.0	6.70e-01										
Beach1986	6042	tmax	h	plasma	234	caffeine	633.0	1.00e+00										
Beach1986	6043	tmax	h	plasma	234	caffeine	634.0	1.00e+00										
Beach1986	6080	clearance	l/h	plasma	234	caffeine			112.0	9.07e+00	7.82e-01	2.73e-01	2.47e+00					
Beach1986	6083	clearance	l/h	plasma	234	caffeine			113.0	2.00e+01	9.47e-01	1.57e-01	3.14e+00					
Beach1986	6085	thalf	h	plasma	234	caffeine			112.0	4.30e+00	3.23e-01	2.37e-01	1.02e+00					
Beach1986	6088	thalf	h	plasma	234	caffeine			113.0	2.19e+00	1.33e-01	2.01e-01	4.40e-01					
Beach1986	6090	vd	l	plasma	234	caffeine			112.0	5.25e+01	2.11e+00	1.27e-01	6.66e+00					
Beach1986	6093	vd	l	plasma	234	caffeine			113.0	6.34e+01	3.92e+00	2.05e-01	1.30e+01					
Beach1986	6095	cmax	µg/ml	plasma	234	caffeine			112.0	3.34e+00	2.15e-01	2.04e-01	6.80e-01					
Beach1986	6098	cmax	µg/ml	plasma	234	caffeine			113.0	2.83e+00	2.08e-01	2.44e-01	6.90e-01					
Beach1986	6100	tmax	h	plasma	234	caffeine			112.0	1.08e+00	2.56e-01	7.50e-01	8.10e-01					
Beach1986	6103	tmax	h	plasma	234	caffeine			113.0	6.50e-01	9.35e-02	4.77e-01	3.10e-01					
Akinyinka2000	4408	thalf	h	saliva	210	paraxanthine			95.0	6.90e+00	3.08e+00	1.26e+00	8.70e+00					
Akinyinka2000	4407	thalf	h	plasma	210	paraxanthine			95.0	1.05e+01	1.56e+00	4.19e-01	4.40e+00					
Akinyinka2000	4406	auc_inf	mg*h/l	saliva	210	paraxanthine			95.0	1.68e+01	3.50e+00	5.89e-01	9.90e+00					
Akinyinka2000	4405	auc_inf	mg*h/l	plasma	210	paraxanthine			95.0	2.91e+01	3.32e+00	3.23e-01	9.40e+00					
Akinyinka2000	4404	tmax	h	saliva	210	paraxanthine			95.0	8.00e+00	9.90e-01	3.50e-01	2.80e+00					
Akinyinka2000	4403	tmax	h	plasma	210	paraxanthine			95.0	7.00e+00	1.20e+00	4.86e-01	3.40e+00					
Akinyinka2000	4402	cmax	µg/ml	saliva	210	paraxanthine			95.0	1.00e+00	1.41e-01	4.00e-01	4.00e-01					
Akinyinka2000	4401	cmax	µg/ml	plasma	210	paraxanthine			95.0	1.50e+00	2.12e-01	4.00e-01	6.00e-01					
Akinyinka2000	4264	clearance	l/h/kg	plasma	210	caffeine	469.0	7.44e-02										
Akinyinka2000	4263	clearance	l/h/kg	plasma	210	caffeine	468.0	8.40e-02										
Akinyinka2000	4262	clearance	l/h/kg	plasma	210	caffeine	467.0	7.56e-02										
Akinyinka2000	4261	clearance	l/h/kg	plasma	210	caffeine	466.0	1.32e-01										
Akinyinka2000	4260	clearance	l/h/kg	plasma	210	caffeine	465.0	2.00e-01										
Akinyinka2000	4259	clearance	l/h/kg	plasma	210	caffeine	464.0	4.78e-01										
Akinyinka2000	4258	clearance	l/h/kg	plasma	210	caffeine	463.0	1.43e-01										
Akinyinka2000	4257	clearance	l/h/kg	plasma	210	caffeine	462.0	2.64e-02										
Akinyinka2000	4256	clearance	l/h/kg	plasma	210	caffeine	461.0	1.03e-01										
Akinyinka2000	4255	clearance	l/h/kg	plasma	210	caffeine	460.0	1.00e-01										
Akinyinka2000	4254	clearance	l/h/kg	plasma	210	caffeine	459.0	1.23e-01										
Akinyinka2000	4253	clearance	l/h/kg	plasma	210	caffeine	458.0	1.20e-01										
Akinyinka2000	4252	clearance	l/h/kg	plasma	210	caffeine	457.0	1.13e-01										
Akinyinka2000	4251	clearance	l/h/kg	plasma	210	caffeine	456.0	1.96e-01										
Akinyinka2000	4250	clearance	l/h/kg	plasma	210	caffeine	455.0	6.66e-02										
Akinyinka2000	4249	clearance	l/h/kg	plasma	210	caffeine	454.0	5.70e-02										
Akinyinka2000	4248	clearance	l/h/kg	plasma	210	caffeine	453.0	1.87e-01										
Akinyinka2000	4247	clearance	l/h/kg	plasma	210	caffeine	452.0	6.36e-02										
Akinyinka2000	4246	clearance	l/h/kg	plasma	210	caffeine	451.0	7.74e-02										
Akinyinka2000	4245	clearance	l/h/kg	plasma	210	caffeine	450.0	1.04e-01										
Akinyinka2000	4244	auc_inf	mg*h/l	plasma	210	caffeine	469.0	1.26e+02										
Akinyinka2000	4243	auc_inf	mg*h/l	plasma	210	caffeine	468.0	1.02e+02										
Akinyinka2000	4242	auc_inf	mg*h/l	plasma	210	caffeine	467.0	8.84e+01										
Akinyinka2000	4241	auc_inf	mg*h/l	plasma	210	caffeine	466.0	6.49e+01										
Akinyinka2000	4240	auc_inf	mg*h/l	plasma	210	caffeine	465.0	2.58e+01										
Akinyinka2000	4239	auc_inf	mg*h/l	plasma	210	caffeine	464.0	2.51e+01										
Akinyinka2000	4238	auc_inf	mg*h/l	plasma	210	caffeine	463.0	4.57e+01										
Akinyinka2000	4237	auc_inf	mg*h/l	plasma	210	caffeine	462.0	1.51e+02										
Akinyinka2000	4236	auc_inf	mg*h/l	plasma	210	caffeine	461.0	6.64e+01										
Akinyinka2000	4235	auc_inf	mg*h/l	plasma	210	caffeine	460.0	5.16e+01										
Akinyinka2000	4234	auc_inf	mg*h/l	plasma	210	caffeine	459.0	4.20e+01										
Akinyinka2000	4233	auc_inf	mg*h/l	plasma	210	caffeine	458.0	4.32e+01										
Akinyinka2000	4232	auc_inf	mg*h/l	plasma	210	caffeine	457.0	4.73e+01										
Akinyinka2000	4231	auc_inf	mg*h/l	plasma	210	caffeine	456.0	2.82e+01										
Akinyinka2000	4230	auc_inf	mg*h/l	plasma	210	caffeine	455.0	8.67e+01										
Akinyinka2000	4229	auc_inf	mg*h/l	plasma	210	caffeine	454.0	9.63e+01										
Akinyinka2000	4228	auc_inf	mg*h/l	plasma	210	caffeine	453.0	1.95e+01										
Akinyinka2000	4227	auc_inf	mg*h/l	plasma	210	caffeine	452.0	6.91e+01										
Akinyinka2000	4226	auc_inf	mg*h/l	plasma	210	caffeine	451.0	7.62e+01										
Akinyinka2000	4225	auc_inf	mg*h/l	plasma	210	caffeine	450.0	4.78e+01										
Akinyinka2000	4224	thalf	h	plasma	210	caffeine	469.0	1.02e+01										
Akinyinka2000	4223	thalf	h	plasma	210	caffeine	468.0	9.70e+00										
Akinyinka2000	4222	thalf	h	plasma	210	caffeine	467.0	8.00e+00										
Akinyinka2000	4221	thalf	h	plasma	210	caffeine	466.0	8.20e+00										
Akinyinka2000	4220	thalf	h	plasma	210	caffeine	465.0	5.50e+00										
Akinyinka2000	4219	thalf	h	plasma	210	caffeine	464.0	8.50e+00										
Akinyinka2000	4218	thalf	h	plasma	210	caffeine	463.0	7.30e+00										
Akinyinka2000	4217	thalf	h	plasma	210	caffeine	462.0	2.44e+01										
Akinyinka2000	4216	thalf	h	plasma	210	caffeine	461.0	6.00e+00										
Akinyinka2000	4215	thalf	h	plasma	210	caffeine	460.0	7.10e+00										
Akinyinka2000	4214	thalf	h	plasma	210	caffeine	459.0	4.00e+00										
Akinyinka2000	4213	thalf	h	plasma	210	caffeine	458.0	6.60e+00										
Akinyinka2000	4212	thalf	h	plasma	210	caffeine	457.0	4.20e+00										
Akinyinka2000	4211	thalf	h	plasma	210	caffeine	456.0	7.40e+00										
Akinyinka2000	4210	thalf	h	plasma	210	caffeine	455.0	1.00e+01										
Akinyinka2000	4209	thalf	h	plasma	210	caffeine	454.0	1.48e+01										
Akinyinka2000	4208	thalf	h	plasma	210	caffeine	453.0	4.10e+00										
Akinyinka2000	4207	thalf	h	plasma	210	caffeine	452.0	8.50e+00										
Akinyinka2000	4206	thalf	h	plasma	210	caffeine	451.0	7.00e+00										
Akinyinka2000	4205	thalf	h	plasma	210	caffeine	450.0	5.70e+00										
Akinyinka2000	4304	ratio	-	plasma	210	paraxanthine/caffeine	469.0	2.20e-01										
Akinyinka2000	4303	ratio	-	plasma	210	paraxanthine/caffeine	468.0	1.00e-01										
Akinyinka2000	4302	ratio	-	plasma	210	paraxanthine/caffeine	467.0	4.90e-01										
Akinyinka2000	4301	ratio	-	plasma	210	paraxanthine/caffeine	466.0	5.50e-01										
Akinyinka2000	4300	ratio	-	plasma	210	paraxanthine/caffeine	465.0	3.50e-01										
Akinyinka2000	4299	ratio	-	plasma	210	paraxanthine/caffeine	464.0	1.80e-01										
Akinyinka2000	4298	ratio	-	plasma	210	paraxanthine/caffeine	463.0	5.20e-01										
Akinyinka2000	4297	ratio	-	plasma	210	paraxanthine/caffeine	462.0	1.30e-01										
Akinyinka2000	4296	ratio	-	plasma	210	paraxanthine/caffeine	461.0	4.10e-01										
Akinyinka2000	4295	ratio	-	plasma	210	paraxanthine/caffeine	460.0	4.20e-01										
Akinyinka2000	4294	ratio	-	plasma	210	paraxanthine/caffeine	459.0	5.30e-01										
Akinyinka2000	4293	ratio	-	plasma	210	paraxanthine/caffeine	458.0	6.20e-01										
Akinyinka2000	4292	ratio	-	plasma	210	paraxanthine/caffeine	457.0	6.30e-01										
Akinyinka2000	4291	ratio	-	plasma	210	paraxanthine/caffeine	456.0	4.30e-01										
Akinyinka2000	4290	ratio	-	plasma	210	paraxanthine/caffeine	455.0	3.30e-01										
Akinyinka2000	4289	ratio	-	plasma	210	paraxanthine/caffeine	454.0	3.00e-01										
Akinyinka2000	4288	ratio	-	plasma	210	paraxanthine/caffeine	453.0	5.30e-01										
Akinyinka2000	4287	ratio	-	plasma	210	paraxanthine/caffeine	452.0	2.50e-01										
Akinyinka2000	4286	ratio	-	plasma	210	paraxanthine/caffeine	451.0	5.40e-01										
Akinyinka2000	4285	ratio	-	plasma	210	paraxanthine/caffeine	450.0	6.00e-01										
Akinyinka2000	4324	clearance	l/h/kg	plasma	210	caffeine			94.0	1.44e-01	3.79e-02	8.33e-01	1.20e-01					
Akinyinka2000	4323	clearance	l/h/kg	plasma	210	caffeine			93.0	1.14e-01	1.52e-02	4.21e-01	4.80e-02					
Akinyinka2000	4322	thalf	h	plasma	210	caffeine			94.0	9.50e+00	1.64e+00	5.47e-01	5.20e+00					
Akinyinka2000	4321	thalf	h	plasma	210	caffeine			93.0	7.20e+00	9.49e-01	4.17e-01	3.00e+00					
Akinyinka2000	4320	auc_inf	mg*h/l	plasma	210	caffeine			94.0	7.47e+01	1.26e+01	5.31e-01	3.97e+01					
Akinyinka2000	4319	auc_inf	mg*h/l	plasma	210	caffeine			93.0	5.56e+01	7.59e+00	4.32e-01	2.40e+01					
Akinyinka2000	4318	tmax	h	plasma	210	caffeine			94.0	1.30e+00	3.79e-01	9.23e-01	1.20e+00					
Akinyinka2000	4317	tmax	h	plasma	210	caffeine			93.0	1.10e+00	3.16e-01	9.09e-01	1.00e+00					
Akinyinka2000	4316	cmax	µg/ml	plasma	210	caffeine			94.0	4.90e+00	5.69e-01	3.67e-01	1.80e+00					
Akinyinka2000	4315	cmax	µg/ml	plasma	210	caffeine			93.0	5.90e+00	8.85e-01	4.75e-01	2.80e+00					
Akinyinka2000	4340	thalf	h	plasma	210	paraxanthine			94.0	1.16e+01	1.68e+00	4.57e-01	5.30e+00					
Akinyinka2000	4339	thalf	h	plasma	210	paraxanthine			93.0	9.10e+00	2.85e+00	9.89e-01	9.00e+00					
Akinyinka2000	4338	auc_inf	mg*h/l	plasma	210	paraxanthine			94.0	2.38e+01	3.60e+00	4.79e-01	1.14e+01					
Akinyinka2000	4337	auc_inf	mg*h/l	plasma	210	paraxanthine			93.0	2.47e+01	2.85e+00	3.64e-01	9.00e+00					
Akinyinka2000	4336	tmax	h	plasma	210	paraxanthine			94.0	1.14e+01	2.25e+00	6.23e-01	7.10e+00					
Akinyinka2000	4335	tmax	h	plasma	210	paraxanthine			93.0	7.90e+00	1.17e+00	4.68e-01	3.70e+00					
Akinyinka2000	4334	cmax	µg/ml	plasma	210	paraxanthine			94.0	9.00e-01	1.26e-01	4.44e-01	4.00e-01					
Akinyinka2000	4333	cmax	µg/ml	plasma	210	paraxanthine			93.0	1.40e+00	1.58e-01	3.57e-01	5.00e-01					
Akinyinka2000	4356	thalf	h	plasma	210	theophylline			94.0	1.77e+01	1.52e+00	2.71e-01	4.80e+00					
Akinyinka2000	4355	thalf	h	plasma	210	theophylline			93.0	1.44e+01	2.34e+00	5.14e-01	7.40e+00					
Akinyinka2000	4354	auc_inf	mg*h/l	plasma	210	theophylline			94.0	6.10e+00	1.30e+00	6.72e-01	4.10e+00					
Akinyinka2000	4353	auc_inf	mg*h/l	plasma	210	theophylline			93.0	7.20e+00	1.77e+00	7.78e-01	5.60e+00					
Akinyinka2000	4352	tmax	h	plasma	210	theophylline			94.0	1.38e+01	2.31e+00	5.29e-01	7.30e+00					
Akinyinka2000	4351	tmax	h	plasma	210	theophylline			93.0	1.03e+01	2.40e+00	7.38e-01	7.60e+00					
Akinyinka2000	4350	cmax	µg/ml	plasma	210	theophylline			94.0	1.40e-01	2.85e-02	6.43e-01	9.00e-02					
Akinyinka2000	4349	cmax	µg/ml	plasma	210	theophylline			93.0	2.10e-01	3.16e-02	4.76e-01	1.00e-01					
Akinyinka2000	4372	thalf	h	plasma	210	theobromine			94.0	1.74e+01	3.67e+00	6.67e-01	1.16e+01					
Akinyinka2000	4371	thalf	h	plasma	210	theobromine			93.0	1.45e+01	2.66e+00	5.79e-01	8.40e+00					
Akinyinka2000	4370	auc_inf	mg*h/l	plasma	210	theobromine			94.0	7.10e+00	1.08e+00	4.79e-01	3.40e+00					
Akinyinka2000	4369	auc_inf	mg*h/l	plasma	210	theobromine			93.0	4.10e+00	6.96e-01	5.37e-01	2.20e+00					
Akinyinka2000	4368	tmax	h	plasma	210	theobromine			94.0	1.24e+01	2.18e+00	5.56e-01	6.90e+00					
Akinyinka2000	4367	tmax	h	plasma	210	theobromine			93.0	1.02e+01	1.90e+00	5.88e-01	6.00e+00					
