	name	substances	creator	curators	groups_count	group_all_count	groups	individuals_count	individuals	interventions_count	outputs_count	timecourses_count	results_count
51	Benowitz2003	caffeine chlorzoxazone 6-hydroxychlorzoxazone	Matthias König	Jan Grzegorzewski,Matthias König	1	12.0	[{'count': 12, 'subject_name': 'all'}]	20	['A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11']	4	102	6	108
2	Joeres1988	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	6	71.0	[{'count': 71, 'subject_name': 'all'}, {'count': 7, 'subject_name': 'healthy smokers'}, {'count': 8, 'subject_name': 'healthy smokers 2'}, {'count': 15, 'subject_name': 'healthy nonsmokers'}, {'count': 18, 'subject_name': 'cirrhosis smokers'}, {'count': 30, 'subject_name': 'cirrhosis nonsmokers'}]	71	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '70', '71']	3	107	0	107
64	McLean2002	caffeine paraxanthine theobromine theophylline	Matthias König	Matthias König	3	14.0	[{'count': 14, 'subject_name': 'all'}, {'count': 8, 'subject_name': 'female'}, {'count': 6, 'subject_name': 'male'}]	0		1	56	48	104
76	Fuhr1993a	naringenin caffeine	Matthias König	Jan Grzegorzewski,Matthias König	3	12.0	[{'count': 12, 'subject_name': 'all'}, {'count': 6, 'subject_name': 'smokers'}, {'count': 6, 'subject_name': 'nonsmokers'}]	12	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']	2	104	0	104
40	Sindrup1996	quinidine codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	17.0	[{'count': 17, 'subject_name': 'all'}]	17	['1', '2', '3', '4', '5', '10', '14', '15', '16', '17', '18', '19', '21', '22', '23', '24', '25']	2	102	0	102
22	ZylberKatz1984	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	12.0	[{'count': 12, 'subject_name': 'all'}]	12	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']	3	96	0	96
44	Park2003		Matthias König	Matthias König	4	65.0	[{'count': 25, 'subject_name': 'control'}, {'count': 65, 'subject_name': 'all'}, {'count': 20, 'subject_name': 'chronic viral hepatitis'}, {'count': 20, 'subject_name': 'cirrhosis'}]	30	['Control1', 'Control2', 'Control3', 'Control4', 'Control5', 'Control6', 'Control7', 'Control8', 'Control9', 'CVH1', 'CVH2', 'CVH3', 'CVH4', 'CVH5', 'CVH6', 'CVH7', 'Cirrhosis1', 'Cirrhosis2', 'Cirrhosis3', 'Cirrhosis4', 'Cirrhosis5', 'Cirrhosis6', 'Cirrhosis7', 'Cirrhosis8', 'Cirrhosis9', 'Cirrhosis10', 'Cirrhosis11', 'Cirrhosis12', 'Cirrhosis13', 'Cirrhosis14']	1	90	0	90
11	Blanchard1983a	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	10.0	[{'count': 10, 'subject_name': 'all'}]	0		2	88	2	90
39	Wu2014	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	4	29.0	[{'count': 29, 'subject_name': 'all'}, {'count': 10, 'subject_name': '*1/*1'}, {'count': 10, 'subject_name': '*1/*10'}, {'count': 9, 'subject_name': '*10/*10'}]	0		1	75	12	87
15	Cheng1990	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	3	26.0	[{'count': 26, 'subject_name': 'all'}, {'count': 13, 'subject_name': 'control'}, {'count': 13, 'subject_name': 'cirrhosis'}]	26	['19', '20', '21', '22', '23', '24', '25', '26', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18']	3	87	0	87
70	Ammon2002	diclofenac codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	12.0	[{'count': 12, 'subject_name': 'all'}]	0		3	75	10	85
75	Mikus1997	sparteine codeine	Jan Grzegorzewski	Jan Grzegorzewski	3	10.0	[{'count': 10, 'subject_name': 'all'}, {'count': 12, 'subject_name': 'EM'}, {'count': 12, 'subject_name': 'PM'}]	10	['4_pm', '5_pm', '1_em', '2_em', '3_em', '4_em', '5_em', '1_pm', '2_pm', '3_pm']	3	80	4	84
62	Carrillo2000a	caffeine paraxanthine	Matthias König	Jan Grzegorzewski,Matthias König	7	23.0	[{'count': 23, 'subject_name': 'all'}, {'count': 12, 'subject_name': 'males'}, {'count': 11, 'subject_name': 'females'}, {'count': 8, 'subject_name': 'males nonsmokers'}, {'count': 4, 'subject_name': 'males smokers'}, {'count': 6, 'subject_name': 'females nonsmokers'}, {'count': 5, 'subject_name': 'females smokers'}]	0		1	56	16	72
68	George1986	antipyrine caffeine	Matthias König	Matthias König	5	10.0	[{'count': 10, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'A'}, {'count': 10, 'subject_name': 'B'}, {'count': 10, 'subject_name': 'C'}, {'count': 10, 'subject_name': 'D'}]	20	['1A', '2A', '3A', '4A', '5A', '6A', '7A', '8A', '9A', '10A', '1C', '2C', '3C', '4C', '5C', '6C', '7C', '8C', '9C', '10C']	2	64	0	64
8	Abernethy1985	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	3	18.0	[{'count': 18, 'subject_name': 'all'}, {'count': 9, 'subject_name': 'OCS'}, {'count': 9, 'subject_name': 'control'}]	54	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54']	1	64	0	64
94	Bergman1991	glucose insulin	Matthias König	Matthias König	5	18.0	[{'count': 18, 'subject_name': 'all'}, {'count': 5, 'subject_name': 'lean good tolerance'}, {'count': 3, 'subject_name': 'lean lower tolerance'}, {'count': 3, 'subject_name': 'obese good tolerance'}, {'count': 7, 'subject_name': 'obese lower tolerance'}]	18	['7', '4', '6', '8', '2', '5', '1', '3', '14', '15', '12', '11', '13', '9', '18', '10', '16', '17']	1	54	8	62
52	Granfors2005	caffeine tizanidine	Matthias König	Jan Grzegorzewski,Matthias König	3	30.0	[{'count': 30, 'subject_name': 'all'}, {'count': 15, 'subject_name': 'control'}, {'count': 15, 'subject_name': 'oc'}]	30	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30']	1	62	0	62
19	Levy1983	caffeine	Matthias König	Matthias König	3	12.0	[{'count': 12, 'subject_name': 'all'}, {'count': 6, 'subject_name': 'A (wakefulness)'}, {'count': 6, 'subject_name': 'B'}]	12	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']	1	48	12	60
54	Haller2002	ephedrine pseudoephedrine caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	8.0	[{'count': 8, 'subject_name': 'all'}]	8	['1', '2', '3', '4', '5', '6', '7', '8']	1	54	1	55
5	Campbell1987a	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	4	15.0	[{'count': 5, 'subject_name': 'nonsmoker'}, {'count': 5, 'subject_name': 'smoker'}, {'count': 15, 'subject_name': 'all'}, {'count': 5, 'subject_name': 'oc'}]	15	['oc1', 'oc2', 'oc3', 'oc4', 'oc5', 'ns1', 'ns2', 'ns3', 'ns4', 'ns5', 's1', 's2', 's3', 's4', 's5']	1	54	0	54
37	Lafolie1996	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	13.0	[{'count': 13, 'subject_name': 'all'}]	13	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']	2	52	0	52
71	Hetzler1990	glycerol caffeine paraxanthine FFA	Matthias König	Jan Grzegorzewski,Matthias König	1	10.0	[{'count': 10, 'subject_name': 'all'}]	0		1	50	0	50
93	Yang2015	glucose insulin	Matthias König	Matthias König	7	1082.0	[{'count': 1082, 'subject_name': 'all'}, {'count': 127, 'subject_name': 'NGT_1990'}, {'count': 89, 'subject_name': 'NGT_2000'}, {'count': 98, 'subject_name': 'PREDM_1990'}, {'count': 170, 'subject_name': 'PREDM_2000'}, {'count': 353, 'subject_name': 'DM_1990'}, {'count': 245, 'subject_name': 'DM_2000'}]	0		1	30	18	48
97	Yue1991	debrisoquine codeine	Jan Grzegorzewski	Jan Grzegorzewski	1	8.0	[{'count': 8, 'subject_name': 'all'}]	8	['1', '2', '3', '4', '5', '6', '7', '8']	2	41	7	48
9	Bonati1982	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	4.0	[{'count': 4, 'subject_name': 'all'}]	4	['A', 'B', 'C', 'D']	5	30	16	46
35	Kim2002	codeine	Jan Grzegorzewski	Jan Grzegorzewski	5	19.0	[{'count': 19, 'subject_name': 'all'}, {'count': 17, 'subject_name': 'all_17'}, {'count': 16, 'subject_name': 'all_16'}, {'count': 14, 'subject_name': 'all_14'}, {'count': 13, 'subject_name': 'all_13'}]	0		2	34	8	42
13	Seng2009	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	4	59.0	[{'count': 59, 'subject_name': 'all'}, {'count': 14, 'subject_name': 'S_NCNS'}, {'count': 15, 'subject_name': 'S_CNS'}, {'count': 30, 'subject_name': 'S_CS'}]	0		2	36	0	36
7	Perera2011	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	3	30.0	[{'count': 30, 'subject_name': 'all'}, {'count': 30, 'subject_name': 'no abstinence'}, {'count': 30, 'subject_name': '24h abstinence'}]	0		1	18	16	34
1	Newton1981	caffeine	Matthias König	Matthias König	1	6.0	[{'count': 6, 'subject_name': 'all'}]	0		5	33	0	33
74	Ghassabian2009	omeprazole caffeine midazolam dextromethorphan losartan clozapine	Matthias König	Jan Grzegorzewski,Matthias König	1	11.0	[{'count': 11, 'subject_name': 'all'}]	11	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']	5	33	0	33
77	Fery1993	glucose insulin	Matthias König	Matthias König	5	30.0	[{'count': 30, 'subject_name': 'all'}, {'count': 11, 'subject_name': 'control'}, {'count': 19, 'subject_name': 't2dm'}, {'count': 7, 'subject_name': 'mild_t2dm'}, {'count': 12, 'subject_name': 'severe_t2dm'}]	0		1	0	33	33
49	Mitrakou1992		Matthias König	Matthias König	5	31.0	[{'count': 31, 'subject_name': 'all'}, {'count': 9, 'subject_name': 'nonobese normal'}, {'count': 8, 'subject_name': 'nonobese igt'}, {'count': 7, 'subject_name': 'obese normal'}, {'count': 7, 'subject_name': 'obese igt'}]	0		1	0	32	32
38	Wu2013	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	10.0	[{'count': 10, 'subject_name': 'all'}]	0		1	28	4	32
91	Knop2007	glucose GIP GLP-1 glucagon insulin c-peptide	Matthias König	Matthias König	3	20.0	[{'count': 20, 'subject_name': 'all'}, {'count': 10, 'subject_name': 't2dm'}, {'count': 10, 'subject_name': 'control'}]	0		2	0	32	32
63	Lelo1986a	caffeine paraxanthine theobromine theophylline	Matthias König	Matthias König	1	6.0	[{'count': 6, 'subject_name': 'all'}]	1	['A']	4	24	8	32
27	Molanaei2010	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	3	11.0	[{'count': 11, 'subject_name': 'all'}, {'count': 9, 'subject_name': 'EM'}, {'count': 2, 'subject_name': 'PM'}]	9	['PM1', 'PM2', 'EM1', 'EM2', 'EM3', 'EM4', 'EM5', 'EM6', 'EM7']	2	6	25	31
87	Butler1991	glucose glucagon insulin	Matthias König	Matthias König	4	25.0	[{'count': 25, 'subject_name': 'all'}, {'count': 9, 'subject_name': 'control'}, {'count': 6, 'subject_name': 'IGT'}, {'count': 10, 'subject_name': 'T2DM'}]	0		1	0	30	30
26	Mohammed1993	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	3	10.0	[{'count': 10, 'subject_name': 'all'}, {'count': 5, 'subject_name': 'sickle cell'}, {'count': 5, 'subject_name': 'healthy'}]	0		1	26	4	30
67	Healy1991	caffeine quinolone paraxanthine lomefloxacin	Matthias König	Jan Grzegorzewski,Matthias König	1	16.0	[{'count': 16, 'subject_name': 'all'}]	0		2	22	6	28
65	Culm-Merdek2005	caffeine paraxanthine theobromine theophylline	Matthias König	Jan Grzegorzewski,Matthias König	1	7.0	[{'count': 7, 'subject_name': 'all'}]	0		5	22	6	28
16	Kaplan1997	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	12.0	[{'count': 12, 'subject_name': 'all'}]	12	['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']	2	20	8	28
30	Shord2009	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	3	54.0	[{'count': 54, 'subject_name': 'all'}, {'count': 30, 'subject_name': 'Group1'}, {'count': 24, 'subject_name': 'Group2'}]	0		1	26	2	28
100	Faber2004		Matthias König	Matthias König	3	12.0	[{'count': 12, 'subject_name': 'all'}, {'count': 12, 'subject_name': 'smokers'}, {'count': 12, 'subject_name': 'smoking cessation'}]	24	['S1', 'S2', 'S3', 'S4', 'S5', 'S6', 'S7', 'S8', 'S9', 'S10', 'S11', 'S12', 'NS1', 'NS2', 'NS3', 'NS4', 'NS5', 'NS6', 'NS7', 'NS8', 'NS9', 'NS10', 'NS11', 'NS12']	1	26	0	26
34	Somogyi1991	acetaminophen codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	6.0	[{'count': 6, 'subject_name': 'all'}]	0		8	26	0	26
72	Magnusson2008	carbamazepine caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	7.0	[{'count': 7, 'subject_name': 'all'}]	7	['1', '2', '3', '4', '5', '6', '7']	3	0	21	21
45	Patwardhan1980		Matthias König	Matthias König	4	31.0	[{'count': 31, 'subject_name': 'all'}, {'count': 13, 'subject_name': 'males'}, {'count': 9, 'subject_name': 'no oc'}, {'count': 9, 'subject_name': 'oc'}]	0		1	18	3	21
21	Wang1985	indocyanogreen caffeine	Matthias König	Matthias König	5	27.0	[{'count': 27, 'subject_name': 'all'}, {'count': 17, 'subject_name': 'liver disease'}, {'count': 9, 'subject_name': 'cirrhosis'}, {'count': 8, 'subject_name': 'non-cirrhotic liver disease'}, {'count': 10, 'subject_name': 'healthy'}]	0		2	18	3	21
88	Firth1986	glucose glucagon insulin c-peptide	Matthias König	Matthias König	3	20.0	[{'count': 20, 'subject_name': 'all'}, {'count': 7, 'subject_name': 'control'}, {'count': 13, 'subject_name': 't2dm'}]	0		1	0	20	20
90	Degn2004	epinephrine glucose norepinephrine cortisol growth hormone exenatide glucagon insulin	Matthias König	Matthias König	1	12.0	[{'count': 12, 'subject_name': 'all'}]	0		2	0	20	20
92	Jones1998	epinephrine glucose norepinephrine cortisol growth hormone	Matthias König	Matthias König	3	18.0	[{'count': 18, 'subject_name': 'all'}, {'count': 8, 'subject_name': 't1dm'}, {'count': 6, 'subject_name': 'normal'}]	0		5	0	20	20
0	Healy1989	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	10.0	[{'count': 10, 'subject_name': 'all'}]	0		4	20	0	20
4	Begas2007	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	9	44.0	[{'count': 44, 'subject_name': 'all'}, {'count': 21, 'subject_name': 'men'}, {'count': 21, 'subject_name': 'nonsmokers'}, {'count': 23, 'subject_name': 'smokers'}, {'count': 11, 'subject_name': 'men smokers'}, {'count': 10, 'subject_name': 'men nonsmokers'}, {'count': 23, 'subject_name': 'women'}, {'count': 12, 'subject_name': 'women smokers'}, {'count': 11, 'subject_name': 'women nonsmokers'}]	0		1	18	0	18
84	Israelian2006	epinephrine glucose cortisol growth hormone glucagon FFA insulin c-peptide	Matthias König	Matthias König	3	37.0	[{'count': 37, 'subject_name': 'all'}, {'count': 14, 'subject_name': 't2dm'}, {'count': 23, 'subject_name': 'control'}]	0		2	0	18	18
41	Hasselstrom1997	debrisoquine codeine	Jan Grzegorzewski	Jan Grzegorzewski	3	24.0	[{'count': 24, 'subject_name': 'all'}, {'count': 12, 'subject_name': 'EM'}, {'count': 12, 'subject_name': 'PM'}]	0		2	18	0	18
69	Murphy1988	antipyrine caffeine	Matthias König	Matthias König	5	8.0	[{'count': 8, 'subject_name': 'all'}, {'count': 8, 'subject_name': 'smokers (no caffeine)'}, {'count': 8, 'subject_name': 'smokers (caffeine)'}, {'count': 8, 'subject_name': 'smoking cessation (no caffeine)'}, {'count': 8, 'subject_name': 'smoking cessation (caffeine)'}]	0		2	16	0	16
46	Turpault2009		Matthias König	Matthias König	1	30.0	[{'count': 30, 'subject_name': 'all'}]	0		5	0	14	14
23	Lia2009	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	20.0	[{'count': 20, 'subject_name': 'all'}]	0		1	12	2	14
78	Ferrannini1988	glucose insulin	Matthias König	Matthias König	3	22.0	[{'count': 22, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'control'}, {'count': 12, 'subject_name': 't2dm'}]	0		1	0	14	14
85	Basu2009	glucose glucagon insulin c-peptide	Matthias König	Matthias König	3	25.0	[{'count': 25, 'subject_name': 'all'}, {'count': 11, 'subject_name': 'control'}, {'count': 14, 'subject_name': 't2dm'}]	0		1	0	14	14
50	Mitrakou1991		Matthias König	Matthias König	1	10.0	[{'count': 10, 'subject_name': 'all'}]	0		2	0	14	14
58	Benowitz1995	caffeine paraxanthine	Matthias König	Jan Grzegorzewski,Matthias König	3	12.0	[{'count': 12, 'subject_name': 'all'}, {'count': 5, 'subject_name': '2mg'}, {'count': 7, 'subject_name': '4mg'}]	0		4	6	8	14
29	Shah1990	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	10.0	[{'count': 10, 'subject_name': 'all'}]	0		1	12	0	12
36	Kirchner2007	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	4	26.0	[{'count': 26, 'subject_name': 'all'}, {'count': 3, 'subject_name': 'PM'}, {'count': 11, 'subject_name': 'EM'}, {'count': 12, 'subject_name': 'UM'}]	0		1	0	12	12
73	Oh2012	omeprazole caffeine midazolam dextromethorphan losartan	Matthias König	Jan Grzegorzewski,Matthias König	1	13.0	[{'count': 13, 'subject_name': 'all'}]	0		5	0	11	11
42	Yue1999	debrisoquine codeine	Jan Grzegorzewski	Jan Grzegorzewski	1	12.0	[{'count': 12, 'subject_name': 'all'}]	0		3	11	0	11
61	Spigset1999a	caffeine paraxanthine	Matthias König	Jan Grzegorzewski,Matthias König	1	12.0	[{'count': 12, 'subject_name': 'all'}]	0		1	8	2	10
