	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median	category	route	unit_intervention	substance_name_intervention	value_intervention	time_unit_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	study	subject_pk	subject_name	('general', 'group_count')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('smoking', 'choice')	('smoking', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'unit')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'mean')	('fasted', 'min')	('fasted', 'unit')	('phenotype', 'choice')	('phenotype', 'count')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'cv')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'min')	('alcohol abstinence', 'unit')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('HbA1c', 'count')	('HbA1c', 'cv')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('consumption', 'choice')	('consumption', 'count')	('consumption', 'cv')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'sd')	('consumption', 'se')	('consumption', 'unit')	('obesity index', 'count')	('obesity index', 'cv')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'max')	('disease duration', 'mean')	('disease duration', 'min')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('CYP2D6 genotype', 'choice')	('CYP2D6 genotype', 'count')	('triglyceride', 'count')	('triglyceride', 'cv')	('triglyceride', 'mean')	('triglyceride', 'se')	('triglyceride', 'unit')	('LDL-H', 'count')	('LDL-H', 'cv')	('LDL-H', 'mean')	('LDL-H', 'se')	('LDL-H', 'unit')	('LDL-C', 'count')	('LDL-C', 'cv')	('LDL-C', 'mean')	('LDL-C', 'se')	('LDL-C', 'unit')	('cholesterol', 'count')	('cholesterol', 'cv')	('cholesterol', 'mean')	('cholesterol', 'se')	('cholesterol', 'unit')	('body surface area', 'count')	('body surface area', 'cv')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('obese', 'choice')	('obese', 'count')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('genetics', 'choice')	('genetics', 'count')	('caffeine', 'choice')	('caffeine', 'count')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('medication type', 'choice')	('medication type', 'count')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('fat weight', 'count')	('fat weight', 'cv')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')
14	plasma	caffeine	tmax	h	234			112.0	1.08	0.256	0.75			0.81							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	112	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	10	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
15	plasma	caffeine	concentration	µg/ml	234			112.0	['1.66e+00', '2.12e+00', '2.61e+00', '3.00e+00', '2.92e+00', '2.82e+00', '2.55e+00', '2.31e+00', '2.03e+00', '1.50e+00', '1.03e+00', '7.30e-01', '4.90e-01']	['1.40e+00', '1.76e+00', '2.01e+00', '2.62e+00', '2.66e+00', '2.61e+00', '2.31e+00', '2.13e+00', '1.89e+00', '1.36e+00', '9.50e-01', '6.80e-01', '4.50e-01']	['2.67e+00', '2.63e+00', '2.44e+00', '2.76e+00', '2.88e+00', '2.93e+00', '2.86e+00', '2.92e+00', '2.94e+00', '2.87e+00', '2.92e+00', '2.95e+00', '2.90e+00']	h	['1.67e-01', '3.33e-01', '5.00e-01', '6.67e-01', '8.33e-01', '1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']		/media/data/Beach1986_Fig1.png	18.473333333333333	0.15625562853646105				dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	112	control	10	homo sapiens	21	Y	10.0	M	10	10.0		35.0			20.0			yr										N	10	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
16	plasma	caffeine	clearance	l/h	234			113.0	20.0	0.9470000000000001	0.157			3.14							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	113	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
17	plasma	caffeine	thalf	h	234			113.0	2.19	0.133	0.201			0.44							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	113	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
18	plasma	caffeine	vd	l	234			113.0	63.4	3.92	0.205			13.0							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	113	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
19	plasma	caffeine	cmax	µg/ml	234			113.0	2.83	0.20800000000000002	0.244			0.69							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	113	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
20	plasma	caffeine	tmax	h	234			113.0	0.65	0.0935	0.47700000000000004			0.31							dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	113	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
21	plasma	caffeine	concentration	µg/ml	234			113.0	['3.02e+00', '4.00e+00', '4.19e+00', '4.19e+00', '4.18e+00', '4.18e+00', '3.94e+00', '3.61e+00', '3.33e+00', '2.52e+00', '1.86e+00', '1.16e+00', '4.70e-01']	['2.77e+00', '3.83e+00', '4.38e+00', '4.29e+00', '4.28e+00', '4.26e+00', '3.99e+00', '3.66e+00', '3.40e+00', '2.64e+00', '2.01e+00', '1.34e+00', '7.20e-01']	['3.04e+00', '3.18e+00', '3.47e+00', '3.40e+00', '3.40e+00', '3.38e+00', '3.36e+00', '3.36e+00', '3.39e+00', '3.47e+00', '3.58e+00', '3.83e+00', '5.08e+00']	h	['1.67e-01', '3.33e-01', '5.00e-01', '6.67e-01', '8.33e-01', '1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01']		/media/data/Beach1986_Fig2.png	29.545	0.16441144421281745				dosing	oral	mg	caffeine	200.0	h	0.0	solution	single dose					Beach1986	113	recovering alcoholics	11	homo sapiens	21	Y	11.0	('F', 'M')	(2, 9)	11.0		35.0			19.0			yr										('N', 'Y')	(2, 9)	('methylxanthine', 'alcohol')	(21, 21)				N	21	Y	21.0																																																																																																																																																																																							
22	saliva	paraxanthine	thalf	h	210			95.0	6.9	3.08	1.26			8.7							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
23	plasma	paraxanthine	thalf	h	210			95.0	10.5	1.56	0.419			4.4							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
24	saliva	paraxanthine	auc_inf	mg*h/l	210			95.0	16.8	3.5	0.589			9.9							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
25	plasma	paraxanthine	auc_inf	mg*h/l	210			95.0	29.1	3.32	0.32299999999999995			9.4							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
26	saliva	paraxanthine	tmax	h	210			95.0	8.0	0.99	0.35			2.8							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
27	plasma	paraxanthine	tmax	h	210			95.0	7.0	1.2	0.486			3.4							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
28	saliva	paraxanthine	cmax	µg/ml	210			95.0	1.0	0.141	0.4			0.4							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
29	plasma	paraxanthine	cmax	µg/ml	210			95.0	1.5	0.212	0.4			0.6							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
30	saliva	caffeine	clearance	l/h/kg	210			95.0	0.168	0.0255	0.429			0.072							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
31	plasma	caffeine	clearance	l/h/kg	210			95.0	0.10800000000000001	0.0148	0.389			0.042							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
32	saliva	caffeine	thalf	h	210			95.0	7.1	1.34	0.535			3.8							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
33	plasma	caffeine	thalf	h	210			95.0	6.0	0.601	0.28300000000000003			1.7							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
34	saliva	caffeine	auc_inf	mg*h/l	210			95.0	35.5	6.68	0.532			18.9							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
35	plasma	caffeine	auc_inf	mg*h/l	210			95.0	51.9	9.51	0.518			26.9							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
36	saliva	caffeine	tmax	h	210			95.0	1.3	0.354	0.769			1.0							dosing	oral	mg	caffeine	300.0	h	0.0							Akinyinka2000	95	healthy subjects	8	homo sapiens	28	Y	10.0			10.0	0.237	40.0	32.1		18.0	7.6	2.4	yr	10.0	0.20600000000000002	82.0	59.8		38.0	12.3	3.89	kg	N	28	kola nuts	10				N	10			african	28																																					Y	10.0																																																																																																																																															
