study	pk	name	category	route	value	unit	substance_name	time_unit	time	form	application	choice	se	min	max
Harder1989	692	D_NOR_C	dosing	oral	400.00	mg	norfloxacin	h	48.0						
Harder1989	693	D_NOR_D	dosing	oral	400.00	mg	norfloxacin	h	72.0						
Harder1989	694	D_PPA_A	dosing	oral	400.00	mg	pipemidic acid	h	0.0						
Harder1989	695	D_PPA_B	dosing	oral	400.00	mg	pipemidic acid	h	24.0						
Harder1989	696	D_PPA_C	dosing	oral	400.00	mg	pipemidic acid	h	48.0						
Harder1989	697	D_PPA_D	dosing	oral	400.00	mg	pipemidic acid	h	72.0						
Harder1989	698	D_CIP1_A	dosing	oral	100.00	mg	ciprofloxacin	h	0.0						
Harder1989	699	D_CIP1_B	dosing	oral	100.00	mg	ciprofloxacin	h	24.0						
Harder1989	700	D_CIP1_C	dosing	oral	100.00	mg	ciprofloxacin	h	48.0						
Harder1989	701	D_CIP1_D	dosing	oral	100.00	mg	ciprofloxacin	h	72.0						
Harder1989	702	D_CIP2_A	dosing	oral	250.00	mg	ciprofloxacin	h	0.0						
Harder1989	703	D_CIP2_B	dosing	oral	250.00	mg	ciprofloxacin	h	24.0						
Harder1989	704	D_CIP2_C	dosing	oral	250.00	mg	ciprofloxacin	h	48.0						
Harder1989	705	D_CIP2_D	dosing	oral	250.00	mg	ciprofloxacin	h	72.0						
Harder1989	706	D_CIP3_A	dosing	oral	500.00	mg	ciprofloxacin	h	0.0						
Harder1989	707	D_CIP3_B	dosing	oral	500.00	mg	ciprofloxacin	h	24.0						
Harder1989	708	D_CIP3_C	dosing	oral	500.00	mg	ciprofloxacin	h	48.0						
Harder1989	709	D_CIP3_D	dosing	oral	500.00	mg	ciprofloxacin	h	72.0						
Harder1989	710	D_ENX1_A	dosing	oral	100.00	mg	enoxacin	h	0.0						
Harder1989	711	D_ENX1_B	dosing	oral	100.00	mg	enoxacin	h	24.0						
Harder1989	712	D_ENX1_C	dosing	oral	100.00	mg	enoxacin	h	48.0						
Harder1989	713	D_ENX1_D	dosing	oral	100.00	mg	enoxacin	h	72.0						
Harder1989	714	D_ENX2_A	dosing	oral	200.00	mg	enoxacin	h	0.0						
Harder1989	715	D_ENX2_B	dosing	oral	200.00	mg	enoxacin	h	24.0						
Harder1989	716	D_ENX2_C	dosing	oral	200.00	mg	enoxacin	h	48.0						
Harder1989	717	D_ENX2_D	dosing	oral	200.00	mg	enoxacin	h	72.0						
Harder1989	718	D_ENX3_A	dosing	oral	400.00	mg	enoxacin	h	0.0						
Harder1989	719	D_ENX3_B	dosing	oral	400.00	mg	enoxacin	h	24.0						
Harder1989	720	D_ENX3_C	dosing	oral	400.00	mg	enoxacin	h	48.0						
Harder1989	721	D_ENX3_D	dosing	oral	400.00	mg	enoxacin	h	72.0						
Joeres1988	731	Dcaf	dosing	oral	366.00	mg	caffeine	h	0.0	tablet	single dose				
Joeres1988	732	smoking abstinence	abstinence		3.00	week						smoking			
Joeres1988	733	no smoking	smoking									N			
Healy1989	813	D_CAF	dosing	oral	100.00	mg	caffeine	h	0.0						
ZylberKatz1984	751	Dcaf_350	dosing	oral	350.00	mg	caffeine	h	0.0	solution	single dose				
ZylberKatz1984	752	Dcaf_310	dosing	oral	310.00	mg	caffeine	h	0.0	solution	single dose				
ZylberKatz1984	753	Dcaf_260	dosing	oral	260.00	mg	caffeine	h	0.0	solution	single dose				
Fery1993	786	Dglc	dosing	oral	75.00	g	glucose	h	0.0						
Knop2007	796	isoglc	metabolic challenge									isoglycemic glucose infusion			
Knop2007	797	ogtt	dosing	oral	50.00	g	glucose	h	0.0	solution	single dose				
Barnet1990	804	Dppa	dosing	oral	800.00	mg	pipemidic acid								
Barnet1990	805	Dnfc	dosing	oral	800.00	mg	norfloxacin								
Healy1989	814	D_CIP_A	dosing	oral	750.00	mg	ciprofloxacin	h	24.0	capsule					
Healy1989	815	D_CIP_B	dosing	oral	750.00	mg	ciprofloxacin	h	36.0	capsule					
Healy1989	816	D_CIP_C	dosing	oral	750.00	mg	ciprofloxacin	h	48.0	capsule					
Kirchner2007	766	COD	dosing	oral	30.00	mg	codeine	h	0.0						
Mitchell1991	773	MOR	dosing	intramuscular	20.00	mg	morphine	h	0.0						
Degn2004	781	hypoclamp	metabolic challenge	iv				h	0.0			hypoglycemic clamp			
Degn2004	782	exenatide	dosing	iv	0.07	pmol/kg/min	exenatide	h	0.0	solution	continuous injection				
Balogh1995	602	Dcaf	dosing	oral	200.00	mg	caffeine	h	0.0	tablet	single dose				
Balogh1995	603	DA	dosing	oral	0.08	mg	gestodene								
Balogh1995	604	DB	dosing	oral	0.12	mg	levonorgestrel								
Balogh1995	605	DEE2	dosing	oral	0.03	mg	EE2								
Balogh1995	606	OC	oral contraceptives									Y			
Balogh1995	607	NO_OC	oral contraceptives									N			
Bonati1982	620	D1	dosing	oral	0.22	mg/kg	caffeine	h	0.0						
Bonati1982	621	D2	dosing	oral	1.00	mg/kg	caffeine	h	0.0						
Bonati1982	622	D3	dosing	oral	1.54	mg/kg	caffeine	h	0.0						
Bonati1982	623	D4	dosing	oral	5.00	mg/kg	caffeine	h	0.0						
Kaplan1997	734	D_CAF250	dosing	oral	250.00	mg	caffeine	h		capsule					
Bonati1982	624	D5	dosing	oral	10.00	mg/kg	caffeine	h	0.0						
Kaplan1997	735	D_CAF500	dosing	oral	500.00	mg	caffeine	h		capsule					
Culm-Merdek2005	633	D1	dosing	oral	250.00	mg	caffeine	h	0.0						
Perera2011	746	Dcaf	dosing	oral	100.00	mg	caffeine	h	0.0	tablet	single dose				
Culm-Merdek2005	634	D2_A	dosing	oral	100.00	mg	fluvoxamine	h	-26.0						
Ammon2002	754	COD	dosing	oral	100.00	mg	codeine	h	0.0	tablet					
Haller2002	647	Dcaf	dosing	oral	175.00	mg	caffeine	h	0.0	capsule					
Firth1986	787	Dglc	dosing	oral	50.00	g	glucose	h	0.0						
Ammon2002	755	DIC	dosing	oral	50.00	mg	diclofenac	h	0.0	capsule					
Mitrakou1991	798	hypoglycemic clamp	metabolic challenge	iv						solution		hypoglycemic clamp			
Ammon2002	756	Placebo	dosing	oral	0.00	mg	diclofenac	h	0.0	capsule					
Mitrakou1991	799	euglycemic clamp	metabolic challenge	iv						solution		hyperinsulinemic euglycemic clamp			
Renner1984	817	D1	dosing	iv	125.00	mg	caffeine	h	0.0	solution	single dose				
Culm-Merdek2005	635	D2_B	dosing	oral	100.00	mg	fluvoxamine	h	-18.0						
Culm-Merdek2005	636	D2_C	dosing	oral	100.00	mg	fluvoxamine	h	-2.5						
Culm-Merdek2005	637	D2_D	dosing	oral	100.00	mg	fluvoxamine	h	8.0						
Akinyinka2000	597	Dcaf	dosing	oral	300.00	mg	caffeine	h	0.0						
Begas2007	608	Dcaf	dosing	oral	200.00	mg	caffeine	h	0.0	capsule	single dose				
Desmond1980	638	D1	dosing	oral	250.00	mg	caffeine	h	0.0						
Harder1988	648	D_CAF	dosing	oral	230.00	mg	caffeine	h	0.0						
Harder1988	649	D_OFL_A	dosing	oral	200.00	mg	ofloxacin	h	0.0						
Harder1988	650	D_OFL_B	dosing	oral	200.00	mg	ofloxacin	h	24.0						
Harder1988	651	D_OFL_C	dosing	oral	200.00	mg	ofloxacin	h	48.0						
Harder1988	661	D_CIP1_A	dosing	oral	100.00	mg	ciprofloxacin	h	0.0						
Healy1991	726	Dcaf	dosing	oral	200.00	mg	caffeine	h	0.0	tablet	single dose				
Harder1988	662	D_CIP1_B	dosing	oral	100.00	mg	ciprofloxacin	h	24.0						
Healy1991	727	Dlom	dosing	oral	400.00	mg	lomefloxacin			capsule	multiple dose				
Harder1988	663	D_CIP1_C	dosing	oral	100.00	mg	ciprofloxacin	h	48.0						
Magnusson2008	736	Dcaf	dosing	oral	100.00	mg	caffeine	h	0.0		single dose				
Harder1988	664	D_CIP1_D	dosing	oral	100.00	mg	ciprofloxacin	h	72.0						
Magnusson2008	737	Dmid	dosing	oral	2.50	mg	midazolam	h	0.0		single dose				
Harder1988	665	D_CIP2_A	dosing	oral	250.00	mg	ciprofloxacin	h	0.0						
Magnusson2008	738	Ddig	dosing	oral	0.13	mg	digoxin	h	0.0		single dose				
Harder1988	666	D_CIP2_B	dosing	oral	250.00	mg	ciprofloxacin	h	24.0						
Harder1988	667	D_CIP2_C	dosing	oral	250.00	mg	ciprofloxacin	h	48.0						
Chen1991	757	COD	dosing	oral	30.00	mg	codeine	h	0.0	tablet					
Kronstrand2001	767	COD	dosing	oral	100.00	mg	codeine	h	0.0						
Chen1991	758	COD_M1	dosing	oral	30.00	mg	codeine	h	48.0	tablet					
Mohammed1993	774	COD	dosing	oral	60.00	mg	codeine	h	0.0						
Chen1991	759	COD_M2	dosing	oral	30.00	mg	codeine	h	-40.0	tablet					
Felig1969	783	glciv	dosing	iv	0.50	g/kg	glucose	h	0.0	solution	single dose				
Chen1991	760	COD_M3	dosing	oral	30.00	mg	codeine	h	-32.0	tablet					
Henkel2005	788	LPG drink	metabolic challenge									lipid-glucose-protein drink			
Chen1991	761	COD_M4	dosing	oral	30.00	mg	codeine	h	-24.0	tablet					
Mitrakou1992	800	glc	dosing	oral	1.00	g/kg	glucose	h	0.0	solution	single dose				
Chen1991	762	COD_M5	dosing	oral	30.00	mg	codeine	h	-16.0	tablet					
Patwardhan1980	807	Dcaf	dosing	oral	250.00	mg	caffeine	h	0.0	capsule	single dose				
Harder1988	652	D_OFL_D	dosing	oral	200.00	mg	ofloxacin	h	72.0						
Harder1988	653	D_NOR_A	dosing	oral	400.00	mg	norfloxacin	h	0.0						
Harder1988	654	D_NOR_B	dosing	oral	400.00	mg	norfloxacin	h	24.0						
Harder1988	655	D_NOR_C	dosing	oral	400.00	mg	norfloxacin	h	48.0						
Harder1988	656	D_NOR_D	dosing	oral	400.00	mg	norfloxacin	h	72.0						
Harder1988	657	D_PPA_A	dosing	oral	400.00	mg	pipemidic acid	h	0.0						
Harder1988	658	D_PPA_B	dosing	oral	400.00	mg	pipemidic acid	h	24.0						
Harder1988	659	D_PPA_C	dosing	oral	400.00	mg	pipemidic acid	h	48.0						
Harder1988	660	D_PPA_D	dosing	oral	400.00	mg	pipemidic acid	h	72.0						
Harder1988	668	D_CIP2_D	dosing	oral	250.00	mg	ciprofloxacin	h	72.0						
Harder1988	669	D_CIP3_A	dosing	oral	500.00	mg	ciprofloxacin	h	0.0						
Harder1988	670	D_CIP3_B	dosing	oral	500.00	mg	ciprofloxacin	h	24.0						
Harder1988	671	D_CIP3_C	dosing	oral	500.00	mg	ciprofloxacin	h	48.0						
Harder1988	672	D_CIP3_D	dosing	oral	500.00	mg	ciprofloxacin	h	72.0						
Harder1988	673	D_ENX1_A	dosing	oral	100.00	mg	enoxacin	h	0.0						
Harder1988	674	D_ENX1_B	dosing	oral	100.00	mg	enoxacin	h	24.0						
Harder1988	675	D_ENX1_C	dosing	oral	100.00	mg	enoxacin	h	48.0						
Harder1988	676	D_ENX1_D	dosing	oral	100.00	mg	enoxacin	h	72.0						
Harder1988	677	D_ENX2_A	dosing	oral	200.00	mg	enoxacin	h	0.0						
Harder1988	678	D_ENX2_B	dosing	oral	200.00	mg	enoxacin	h	24.0						
Harder1988	679	D_ENX2_C	dosing	oral	200.00	mg	enoxacin	h	48.0						
Harder1988	680	D_ENX2_D	dosing	oral	200.00	mg	enoxacin	h	72.0						
Harder1988	681	D_ENX3_A	dosing	oral	400.00	mg	enoxacin	h	0.0						
Harder1988	682	D_ENX3_B	dosing	oral	400.00	mg	enoxacin	h	24.0						
Harder1988	683	D_ENX3_C	dosing	oral	400.00	mg	enoxacin	h	48.0						
Harder1988	684	D_ENX3_D	dosing	oral	400.00	mg	enoxacin	h	72.0						
Chen1991	763	COD_M6	dosing	oral	30.00	mg	codeine	h	-8.0	tablet					
Chen1991	764	COD_M7	dosing	oral	30.00	mg	codeine	h	0.0	tablet					
Lafolie1996	768	COD25	dosing	oral	25.00	mg/kg	codeine	h	0.0						
Lafolie1996	769	COD50	dosing	oral	50.00	mg/kg	codeine	h	0.0						
Basu2009	775	mixed-meal	metabolic challenge	oral				h	0.0			mixed-meal			
Ferrannini1979	784	glciv	dosing	iv	0.33	g/kg	glucose	h	0.0						
Israelian2006	789	hypoclamp	metabolic challenge									hypoglycemic clamp			
Israelian2006	790	Dins	dosing	iv	1.00	mU/kg	insulin	h	0.0	solution	continuous injection				
Thomaseth2008	801	Dglc	dosing	oral	75.00	g	glucose	h	0.0						
Benowitz2003	808	Dcaf	dosing	oral	250.00	mg	caffeine	h	0.0						
Benowitz1995	609	Dcaf_2mg	dosing	oral	2.00	mg/kg	caffeine	h	0.0	capsule	single dose				
Benowitz1995	610	Dcaf_4mg	dosing	oral	4.00	mg/kg	caffeine	h	0.0	capsule	single dose				
Benowitz1995	611	Dpx_2mg	dosing	oral	2.00	mg/kg	paraxanthine	h	0.0	capsule	single dose				
Benowitz1995	612	Dpx_4mg	dosing	oral	4.00	mg/kg	paraxanthine	h	0.0	capsule	single dose				
Carbo1989	626	Dcaf	dosing	oral	350.00	mg	caffeine	h	0.0		single dose				
Carbo1989	627	Dnfc	dosing	oral	800.00	mg	norfloxacin								
Carbo1989	628	Dppa	dosing	oral	800.00	mg	pipemidic acid								
Fuhr1993a	639	Dcaf	dosing	oral	167.00	mg	caffeine	h	0.0	solution	single dose				
Fuhr1993a	640	Dgf	dosing	oral	143.00	mg	grapefruit juice	h	0.0	solution	single dose			126.30	159.00
Hetzler1990	728	Dcaf	dosing	iv	4.00	mg/kg	caffeine	h	0.0	solution	single dose				
Oh2012	739	Dcaf	dosing	oral	10.00	mg	caffeine	h	0.0		single dose				
Oh2012	740	Dlos	dosing	oral	2.00	mg	losartan	h	0.0		single dose				
Oh2012	741	Dome	dosing	oral	200.00	mg	omeprazole	h	0.0		single dose				
Oh2012	742	Ddex	dosing	oral	2.00	mg	dextromethorphan	h	0.0		single dose				
Oh2012	743	Dmid	dosing	oral	100.00	mg	midazolam	h	0.0		single dose				
Seng2009	748	D_CAF3	dosing	oral	3.00	mg/kg	caffeine	h	0.0	capsule					
Seng2009	749	D_CAF5	dosing	oral	5.00	mg/kg	caffeine	h	0.0	capsule					
Benowitz2003	809	Dchlo	dosing	oral	250.00	mg	chlorzoxazone	h	0.0						
Benowitz2003	810	Smoking	smoking									Y			
Benowitz2003	811	CO	medication type									carbon monoxide			
Lia2009	770	COD	dosing	oral	30.00	mg	codeine	h	0.0	tablet					
Butler1991	776	mixed-meal	metabolic challenge	oral				h	0.0			mixed-meal			
Ferrannini1988	785	Dglc	dosing	oral	1.00	g/kg	glucose	h	0.0						
Jones1998	791	hypoglycemia	metabolic challenge					min	0.0			hypoglycemic clamp			
Backman2008	600	Dcaf	dosing	oral	100.00	mg	caffeine	h	0.0	tablet	single dose				
Carrillo2000a	629	Dcaf	dosing	oral	100.00	mg	caffeine	h	0.0	tablet	single dose				
Ghassabian2009	641	Dcaf	dosing	oral	100.00	mg	caffeine	h	0.0						
Ghassabian2009	642	Dome	dosing	oral	20.00	mg	omeprazole	h	0.0						
Ghassabian2009	643	Dlos	dosing	oral	25.00	mg	losartan	h	0.0						
Ghassabian2009	644	Ddex	dosing	oral	100.00	mg	dextromethorphan	h	0.0						
Ghassabian2009	645	Dmid	dosing	oral	2.00	mg	midazolam	h	0.0						
Jeppesen1996	729	Dcaf	dosing	oral	200.00	mg	caffeine	h	0.0		single dose				
Jeppesen1996	730	Dflu	dosing	oral	50.00	mg	fluvoxamine				single dose				
Parsons1978	744	Dcaf	dosing	oral	5.00	mg/kg	caffeine	h	0.0	solution	single dose				
Spigset1999a	750	Dcaf	dosing	oral	200.00	mg	caffeine	h	0.0	tablet	single dose				
Jones1998	792	asleep	sleeping									asleep			
Jones1998	793	awake	sleeping									awake			
Jones1998	794	daytime	circadian									daytime			
Jones1998	795	nighttime	circadian									nighttime			
Abernethy1985	802	D1	dosing	oral	162.00	mg	caffeine	h	0.0						
Campbell1987a	812	Dcaf	dosing	oral	4.00	mg/kg	caffeine	h	0.0						
